,Year,Actress,Role(s),Film,Ref.,FilmLink,Won,Record,Actor,Age
456,2019 (92nd),Scarlett Johansson,Nicole Barber,Marriage Story,[99],/wiki/Marriage_Story,False,,,
457,2019 (92nd),Saoirse Ronan,"Josephine ""Jo"" March",Little Women,[99],/wiki/Little_Women_(2019_film),False,,,
458,2019 (92nd),Charlize Theron,Megyn Kelly,Bombshell,[99],/wiki/Bombshell_(2019_film),False,,,
459,2020/21 (93rd)[100],Frances McDormand ‡,Fern,Nomadland,[101],/wiki/Nomadland,True,,,
460,2020/21 (93rd)[100],Viola Davis,"Gertrude ""Ma"" Rainey",Ma Rainey's Black Bottom,[101],/wiki/Ma_Rainey%27s_Black_Bottom_(film),False,,,
461,2020/21 (93rd)[100],Andra Day,Billie Holiday,The United States vs. Billie Holiday,[101],/wiki/The_United_States_vs._Billie_Holiday,False,,,
462,2020/21 (93rd)[100],Vanessa Kirby,Martha Weiss,Pieces of a Woman,[101],/wiki/Pieces_of_a_Woman,False,,,
463,2020/21 (93rd)[100],Carey Mulligan,"Cassandra ""Cassie"" Thomas",Promising Young Woman,[101],/wiki/Promising_Young_Woman,False,,,
464,2021 (94th),Jessica Chastain ‡,Tammy Faye Bakker,The Eyes of Tammy Faye,[102],/wiki/The_Eyes_of_Tammy_Faye_(2021_film),True,,,
465,2021 (94th),Olivia Colman,Leda Caruso,The Lost Daughter,[102],/wiki/The_Lost_Daughter_(film),False,,,
466,2021 (94th),Penélope Cruz,Janis Martínez Moreno,Parallel Mothers,[102],/wiki/Parallel_Mothers,False,,,
467,2021 (94th),Nicole Kidman,Lucille Ball,Being the Ricardos,[102],/wiki/Being_the_Ricardos,False,,,
468,2021 (94th),Kristen Stewart,"Diana, Princess of Wales",Spencer,[102],/wiki/Spencer_(film),False,,,
469,2022 (95th),Michelle Yeoh ‡,Evelyn Quan Wang,Everything Everywhere All at Once,[103],/wiki/Everything_Everywhere_All_at_Once,True,,,
470,2022 (95th),Cate Blanchett,Lydia Tár,Tár,[103],/wiki/T%C3%A1r,False,,,
471,2022 (95th),Ana de Armas,Norma Jeane / Marilyn Monroe,Blonde,[103],/wiki/Blonde_(2022_film),False,,,
472,2022 (95th),Andrea Riseborough,Leslie Rowland,To Leslie,[103],/wiki/To_Leslie,False,,,
473,2022 (95th),Michelle Williams,Mitzi Fabelman,The Fabelmans,[103],/wiki/The_Fabelmans,False,,,
474,2023 (96th),Annette Bening,Diana Nyad,Nyad,[104],/wiki/Nyad_(film),False,,,
475,2023 (96th),Lily Gladstone,Mollie Burkhart,Killers of the Flower Moon,[104],/wiki/Killers_of_the_Flower_Moon_(film),False,,,
476,2023 (96th),Sandra Hüller,Sandra Voyter,Anatomy of a Fall,[104],/wiki/Anatomy_of_a_Fall,False,,,
477,2023 (96th),Carey Mulligan,Felicia Montealegre,Maestro,[104],/wiki/Maestro_(2023_film),False,,,
478,2023 (96th),Emma Stone,Bella Baxter,Poor Things,[104],/wiki/Poor_Things_(film),False,,,
479,1990,,,Driving Miss Daisy,[105],/wiki/Driving_Miss_Daisy,False,Oldest Winner,Jessica Tandy,80.0
480,2013,,,Amour,[105],/wiki/Amour_(2012_film),False,Oldest Nominee,Emmanuelle Riva,85.0
481,1987,,,Children of a Lesser God,[105],/wiki/Children_of_a_Lesser_God_(film),False,Youngest Winner,Marlee Matlin,21.0
482,2013,,,Beasts of the Southern Wild,[105],/wiki/Beasts_of_the_Southern_Wild,False,Youngest Nominee,Quvenzhané Wallis,9.0
