,Year,Film,Nominees,FilmLink,Won
81,1946 (19th),The Cat Concerto,Fred Quimby,/wiki/The_Cat_Concerto,True
82,1946 (19th),John Henry and the Inky-Poo,George Pal,/wiki/John_Henry_and_the_Inky-Poo,False
83,1946 (19th),Musical Moments from Chopin,Walter Lantz,/wiki/Musical_Moments_from_Chopin,False
84,1946 (19th),Squatter's Rights,Walt Disney,/wiki/Squatter%27s_Rights_(film),False
85,1946 (19th),Walky Talky Hawky,Edward Selzer,/wiki/Walky_Talky_Hawky,False
86,1947 (20th),,,,False
87,1947 (20th),Tweetie Pie,Edward Selzer,/wiki/Tweetie_Pie,True
88,1947 (20th),Chip an' Dale,Walt Disney,/wiki/Chip_an%27_Dale,False
89,1947 (20th),Dr. Jekyll and Mr. Mouse,Fred Quimby,/wiki/Dr._Jekyll_and_Mr._Mouse,False
90,1947 (20th),Pluto's Blue Note,Walt Disney,/wiki/Pluto%27s_Blue_Note,False
91,1947 (20th),Tubby the Tuba,George Pal,/wiki/Tubby_the_Tuba_(1947_film),False
92,1948 (21st),,,,False
93,1948 (21st),The Little Orphan,Fred Quimby,/wiki/The_Little_Orphan,True
94,1948 (21st),Mickey and the Seal,Walt Disney,/wiki/Mickey_and_the_Seal,False
95,1948 (21st),Mouse Wreckers,Edward Selzer,/wiki/Mouse_Wreckers,False
96,1948 (21st),Robin Hoodlum,United Productions of America,,False
97,1948 (21st),Tea for Two Hundred,Walt Disney,/wiki/Tea_for_Two_Hundred,False
98,1949 (22nd) [note 1][5],,,,False
99,1949 (22nd) [note 1][5],For Scent-imental Reasons,Edward Selzer,/wiki/For_Scent-imental_Reasons,True
100,1949 (22nd) [note 1][5],Canary Row,Edward Selzer,/wiki/Canary_Row,False
101,1949 (22nd) [note 1][5],Hatch Up Your Troubles,Fred Quimby,/wiki/Hatch_Up_Your_Troubles,False
102,1949 (22nd) [note 1][5],Magic Fluke,Stephen Bosustow,,False
103,1949 (22nd) [note 1][5],Toy Tinkers,Walt Disney,/wiki/Toy_Tinkers,False
104,1950 (23rd),,,,False
105,1950 (23rd),Gerald McBoing-Boing,Stephen Bosustow,/wiki/Gerald_McBoing-Boing,True
106,1950 (23rd),Jerry's Cousin,Fred Quimby,/wiki/Jerry%27s_Cousin,False
107,1950 (23rd),Trouble Indemnity,Stephen Bosustow,,False
108,1951 (24th),,,,False
109,1951 (24th),The Two Mouseketeers,Fred Quimby,/wiki/The_Two_Mouseketeers,True
110,1951 (24th),Lambert the Sheepish Lion,Walt Disney,/wiki/Lambert_the_Sheepish_Lion,False
