,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
1290,Robert Wise,,Ernest Lehman,,Charles Schnee,"Paul Newman, , Pier Angeli, , Everett Sloane",Joseph Ruttenberg,Albert Akst,Bronislau Kaper,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,114 minutes,United States,,"$1,920,000, [1]","$3,360,000, [1], [2]",https://en.wikipedia.org/wiki/Somebody_Up_There_Likes_Me_(1956_film),"Somebody Up There Likes Me, , 1955 autobiography, , by , Rocky Graziano,  with Rowland Barber",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
July 3, 1956 (1956-07-03)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Mark Robson,,Philip Yordan,,Philip Yordan,"Humphrey Bogart, , Rod Steiger, , Jan Sterling",Burnett Guffey,Jerome Thoms,Hugo Friedhofer,Columbia Pictures,Columbia Pictures,,109 minutes,United States,,,"$1,350,000 (US), [1]",https://en.wikipedia.org/wiki/The_Harder_They_Fall_(1956_film),"The Harder They Fall, , 1947 novel, , by , Budd Schulberg",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 31, 1956 (1956-03-31)
",Black and white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,William F. Claxton,,Eric Norden,"Earle Lyon, , Eric Norden",Earle Lyon,"Forrest Tucker, , Mari Blanchard,  , ,  , Wallace Ford",Walter Strenge,Carl Pierson,Paul Dunlap,Regal Films,20th Century-Fox,,76 minutes,United States,,"$125,000, [1], [2]","$600,000 (estimated), [2]",https://en.wikipedia.org/wiki/Stagecoach_to_Fury,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 13, 1956 (1956-12-13)
",Black and white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,George Sidney,Samuel A. Taylor,,,"Jerry Wald, , Jonie Taps","Kim Novak, , Tyrone Power, , Victoria Shaw,  , ,  , James Whitmore,  , , Shepperd Strudwick",Harry Stradling,"Viola Lawrence, , Jack Ogilvie",George Duning,Columbia Pictures,Columbia Pictures,,123 minutes,United States,,"$3 million, [1]","$5.3 million (US), [2]",https://en.wikipedia.org/wiki/The_Eddy_Duchin_Story,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
June 21, 1956 (1956-06-21)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Leo McCarey,,"Delmer Daves, , Donald Ogden Stewart, , Leo McCarey","Leo McCarey, , Mildred Cram","Leo McCarey, , Jerry Wald","Cary Grant, , Deborah Kerr, , Richard Denning",Milton Krasner,James B. Clark,Hugo Friedhofer,Jerry Wald Productions,20th Century Fox,,115 minutes,United States,,"$2.1 million, [2]","$3.85 million (U.S./Canada rentals), [3]",https://en.wikipedia.org/wiki/An_Affair_to_Remember,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
July 19, 1957 (1957-07-19)[1]
",DeLuxe Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Stanley Donen,Leonard Gershe,,,Roger Edens,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Audrey Hepburn
Fred Astaire
Kay Thompson
Michel Auclair
Robert Flemyng
",Ray June,Frank Bracht,", 
Adolph Deutsch
Songs:
George Gershwin
Ira Gershwin
Roger Edens
",,Paramount Pictures,,"103 minutes, [1]",United States,", 
English
French
",$3 million,"$2.5 million, [2]",https://en.wikipedia.org/wiki/Funny_Face,,,", 
February 13, 1957 (1957-02-13) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Delbert Mann,"Eugene O'Neill, , Irwin Shaw",,,Don Hartman,Sophia Loren,Daniel L. Fapp,George Boemler,Elmer Bernstein,Don Hartman Productions,Paramount Pictures,,111 minutes,United States,,,"$1 million (domestic rentals), [1]",https://en.wikipedia.org/wiki/Desire_Under_the_Elms_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 12, 1958 (1958-03-12)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,Edward Dmytryk,,Edward Anhalt,,Al Lichtman,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Marlon BrandoMontgomery CliftDean MartinHope LangeBarbara RushMay Britt",Joseph MacDonald,Dorothy Spencer,Hugo Friedhofer,,20th Century-Fox,,167 minutes,United States,,"$3.55 million, [1]","$4.48 million (US/ Canada rentals), [2], [3]",https://en.wikipedia.org/wiki/The_Young_Lions_(film),"The Young Lions, , by , Irwin Shaw",English,", 
April 2, 1958 (1958-04-02)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Joshua Logan,,Paul Osborn,,Buddy Adler,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Rossano Brazzi
Mitzi Gaynor
John Kerr
France Nuyen
Ray Walston
Juanita Hall
",Leon Shamroy,Robert L. Simpson,Richard Rodgers,South Pacific Enterprises,"Magna, , 20th Century-Fox",,"157 minutes, , (Theatrical Version), [1], , 172 minutes, , (Roadshow Version)",United States,,"$5.61 million, [2]","$17.5 million , (rentals), [3], [4]",https://en.wikipedia.org/wiki/South_Pacific_(1958_film),"South Pacific, , by , Oscar Hammerstein II, , Joshua Logan, , Tales of the South Pacific, , by , James A. Michener",English,", 
March 19, 1958 (1958-03-19)
",De Luxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,Joseph Anthony,,James Lee,,Hal Wallis,"Dean Martin, , Anthony Franciosa, , Shirley MacLaine, , Carolyn Jones",Joseph LaShelle,Warren Low,Franz Waxman,,Paramount Pictures,,105 minutes,United States,,,"$3 million (est. US/ Canada rentals), [1]",https://en.wikipedia.org/wiki/Career_(1959_film),"Career, , by James Lee",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1959 (1959)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,Vincent Sherman,,James Gunn,,James Gunn,"Paul Newman, , Barbara Rush, ,  , Alexis Smith, , Robert Vaughn",Harry Stradling,William H. Ziegler,Ernest Gold,,Warner Bros. Pictures,,136 minutes,United States,,,"$2.8 million (est. US/ Canada rentals), [2]",https://en.wikipedia.org/wiki/The_Young_Philadelphians,"The Philadelphian , , 1956 novel, , by , Richard P. Powell",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 19, 1959 (1959-05-19) (Philadelphia)
, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Frank Borzage,,"Howard Estabrook, , and , Rowland V. Lee",,Rowland V. Lee,"Howard Keel, , Susan Kohner, , John Saxon, , Martha Hyer, , Herbert Lom","Lee Garmes, , , A.S.C.","Paul Weatherwax, , , A.C.E.",Albert Hay Malotte,,Buena Vista Distribution,,180 minutes,United States,,"$4 million, [1]","$3 million (US/Canada rentals), [2]",https://en.wikipedia.org/wiki/The_Big_Fisherman,"the novel by , Lloyd C. Douglas",English,"August 4, 1959 (US)",,"Centurion Films, Inc.Rowland V. Lee Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Melville Shavelson,"Robert Smith, , Jack Rose, , Melville Shavelson",,,Jack Rose,"Danny Kaye, , Barbara Bel Geddes, , Louis Armstrong, , Harry Guardino, , Bob Crosby, , Bobby Troup",Daniel L. Fapp,Frank P. Keller,"Thorton W. Allen, , Sylvia Fine, , M.W. Sheafe, , Leith Stevens",,Paramount Pictures,,117 minutes,United States,,,"$3 million (est. US/ Canada rentals), [1]",https://en.wikipedia.org/wiki/The_Five_Pennies,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
June 18, 1959 (1959-06-18)
,  , (New York)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Otto Preminger,N. Richard Nash,,,Samuel Goldwyn,"Sidney Poitier, , Dorothy Dandridge, , Sammy Davis Jr., , Pearl Bailey",Leon Shamroy,Daniel Mandell,"André Previn, , Songs:, , George Gershwin, , Ira Gershwin",Samuel Goldwyn Productions,Columbia Pictures,,138 minutes,United States,,"$7 million, [1]","$3.5 million, [2]",https://en.wikipedia.org/wiki/Porgy_and_Bess_(film),"Porgy and Bess,  by, , DuBose Heyward",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
June 24, 1959 (1959-06-24)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Melvin Frank,"Norman Panama, , Melvin Frank",,,Norman Panama,"Bob Hope, , Lucille Ball",Charles Lang,Frank Bracht,"Leigh Harline, , Johnny Mercer",,United Artists,,103 minutes,,,,"$3.2 million, [1]",https://en.wikipedia.org/wiki/The_Facts_of_Life_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 14, 1960 (1960-11-14)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Stanley Kubrick,,Dalton Trumbo,,Edward Lewis,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Kirk Douglas
Laurence Olivier
Jean Simmons
Charles Laughton
Peter Ustinov
John Gavin
Tony Curtis
",Russell Metty,Robert Lawrence,Alex North,Bryna Productions,Universal International,,197 minutes,United States,,"$12 million, [1], [2]",$17 million (initial release),https://en.wikipedia.org/wiki/Spartacus_(film),"Spartacus, , 1951 novel, , by , Howard Fast",English,", 
October 6, 1960 (1960-10-06) (DeMille Theatre, New York City)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Otto Preminger,,Dalton Trumbo,,Otto Preminger,"Paul Newman, , Eva Marie Saint, , Ralph Richardson, , Peter Lawford, , Sal Mineo, , Jill Haworth, , Lee J. Cobb, , John Derek",Sam Leavitt,Louis R. Loeffler,Ernest Gold,,United Artists,,208 minutes,United States,,"$4.5 million, [3]","$8.7 million (US/ Canada), [4], , $20 million (worldwide), [3]",https://en.wikipedia.org/wiki/Exodus_(1960_film),"Exodus, , by , Leon Uris",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 15, 1960 (1960-12-15) (Warner Theatre)[1][2]
",,"Carlyle-Alpina, S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,George Sidney,"Claude Binyon, , Dorothy Kingsley",,"Sonya Levien, , George Sidney, , Leonard Spigelgass",George Sidney,"Cantinflas, , Dan Dailey, , Shirley Jones",Joseph MacDonald,"Viola Lawrence, , Al Clark",Johnny Green,,Columbia Pictures,,"180 minutes, [1]",United States,,"$5 million, [2]","$4.8 million (US/ Canada rentals) , [3], [4]",https://en.wikipedia.org/wiki/Pepe_(1960_film),"Broadway Zauber,  play by , Leslie Bush-Fekete",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 20, 1960 (1960-12-20)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,Robert Stevenson,,Bill Walsh,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Walt Disney
",", 
Fred MacMurray
Nancy Olson
Keenan Wynn
Tommy Kirk
Leon Ames
Elliott Reid
Edward Andrews
Wally Brown
Alan Carney
Forrest Lewis
James Westerfield
Ed Wynn
",Edward Colman,Cotton Warburton,George Bruns,Walt Disney Productions,Buena Vista Distribution,,97 minutes,United States,,,"$25.3 million, [2]",https://en.wikipedia.org/wiki/The_Absent-Minded_Professor,"""A Situation of Gravity"", , by , Samuel W. Taylor",English,"March 16, 1961, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,William Wyler,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
John Michael Hayes
Lillian Hellman (adaptation)
",,William Wyler,", 
Audrey Hepburn
Shirley MacLaine
James Garner
Miriam Hopkins
Fay Bainter
Karen Balkin
",Franz F. Planer,Robert Swink,Alex North,The Mirisch Company,United Artists,,107 minutes,United States,,"$3.6 million, [1]","$3 million, [1],  or $1.8 million (US/Canada , rentals, ), [2]",https://en.wikipedia.org/wiki/The_Children%27s_Hour_(film),"The Children's Hour, , by Lillian Hellman",English,", 
December 19, 1961 (1961-12-19)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Billy Wilder,,"I. A. L. Diamond, , Billy Wilder",,Billy Wilder,"James Cagney, , Horst Buchholz, , Pamela Tiffin, , Arlene Francis",Daniel L. Fapp,Daniel Mandell,André Previn,,United Artists,,"104 minutes, [1]",United States,", 
English
German
Russian
","$3 million, [2],  or $2 million, [3]","$4 million, [2]","https://en.wikipedia.org/wiki/One,_Two,_Three","Egy, kettő, három, , by , Ferenc Molnár",,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 15, 1961 (1961-12-15) (United States)
",,"The Mirisch CompanyPyramid Productions, A. G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Henry Koster,,Joseph Fields,,"Ross Hunter, , Joseph Fields","Nancy Kwan, , James Shigeta, , Miyoshi Umeki, , Jack Soo, , Benson Fong, , Juanita Hall",Russell Metty,Milton Carruth,"Richard Rodgers, , Alfred Newman, , Oscar Hammerstein II , (lyrics)",Hunter-Fields Productions,"Universal-International, [1]",,132 minutes,United States,,"$4 million, [2]","$5 million (US/ Canada rentals) , [3]",https://en.wikipedia.org/wiki/Flower_Drum_Song_(film),"Flower Drum Song, , (1958 musical), ,  by , Oscar Hammerstein II, , Joseph Fields , ,  , The Flower Drum Song, , (1957 novel), , by , C. Y. Lee",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 9, 1961 (1961-11-09)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Mervyn LeRoy,Leonard Spigelgass,,,Harry Stradling,"Rosalind Russell, , Alec Guinness, , Ray Danton, , Madlyn Rhue, , Mae Questel, , Marc Marno, , Gary Vinson, , Sharon Hugueny, , Frank Wilcox, , Francis De Sales, , Yuki Shimoda, , Harriet MacGibbon",Harry Stradling,Philip W. Anderson,Max Steiner,,Warner Bros.,,156 minutes,United States,,,"$2 million (US/Canada), [1]",https://en.wikipedia.org/wiki/A_Majority_of_One_(film),"A Majority of One, , by , Leonard Spigelgass",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 27, 1961 (1961-12-27)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
