,Year,Film,Nominees,FilmLink,Won
109,1959 (32nd),,,,False
110,1959 (32nd),Ben-Hur,A. Arnold Gillespie and Robert MacDonald (visual); Milo B. Lory (audible),/wiki/Ben-Hur_(1959_film),True
111,1959 (32nd),Journey to the Center of the Earth,L. B. Abbott and James B. Gordon (visual); Carl Faulkner (audible),/wiki/Journey_to_the_Center_of_the_Earth_(1959_film),False
112,1960 (33rd),,,,False
113,1960 (33rd),The Time Machine,Gene Warren and Tim Baar (visual),/wiki/The_Time_Machine_(1960_film),True
114,1960 (33rd),The Last Voyage,Augie Lohman (visual),/wiki/The_Last_Voyage,False
115,1961 (34th),,,,False
116,1961 (34th),The Guns of Navarone,Bill Warrington (visual); Vivian C. Greenham (audible),/wiki/The_Guns_of_Navarone_(film),True
117,1961 (34th),The Absent-Minded Professor,Robert A. Mattey and Eustace Lycett (visual),/wiki/The_Absent-Minded_Professor,False
118,1962 (35th),,,,False
119,1962 (35th),The Longest Day,Robert MacDonald (visual); Jacques Maumont (audible),/wiki/The_Longest_Day_(film),True
120,1962 (35th),Mutiny on the Bounty,A. Arnold Gillespie (visual); Milo B. Lory (audible),/wiki/Mutiny_on_the_Bounty_(1962_film),False
121,1963 (36th),,,,False
122,1963 (36th),Cleopatra,Emil Kosa Jr.,/wiki/Cleopatra_(1963_film),True
123,1963 (36th),The Birds,Ub Iwerks,/wiki/The_Birds_(film),False
124,1964 (37th),,,,False
125,1964 (37th),Mary Poppins,"Peter Ellenshaw, Eustace Lycett, and Hamilton Luske",/wiki/Mary_Poppins_(film),True
126,1964 (37th),7 Faces of Dr. Lao,Jim Danforth,/wiki/7_Faces_of_Dr._Lao,False
127,1965 (38th),,,,False
128,1965 (38th),Thunderball,John Stears,/wiki/Thunderball_(film),True
129,1965 (38th),The Greatest Story Ever Told,Joseph McMillan Johnson,/wiki/The_Greatest_Story_Ever_Told,False
130,1966 (39th),,,,False
131,1966 (39th),Fantastic Voyage,Art Cruickshank,/wiki/Fantastic_Voyage,True
132,1966 (39th),Hawaii,Linwood G. Dunn,/wiki/Hawaii_(1966_film),False
133,1967 (40th),,,,False
134,1967 (40th),Doctor Dolittle,L. B. Abbott,/wiki/Doctor_Dolittle_(1967_film),True
135,1967 (40th),Tobruk,Howard A. Anderson Jr. and Albert Whitlock,/wiki/Tobruk_(1967_film),False
136,1968 (41st),,,,False
137,1968 (41st),2001: A Space Odyssey,Stanley Kubrick,/wiki/2001:_A_Space_Odyssey_(film),True
