,Year,Director(s),Film,Ref.,FilmLink,Won,Record,Director,Age
340,1996 (69th),Scott Hicks,Shine,[81],/wiki/Shine_(film),False,,,
341,1996 (69th),Mike Leigh,Secrets & Lies,[81],/wiki/Secrets_%26_Lies_(film),False,,,
342,1997 (70th),James Cameron,Titanic,[82],/wiki/Titanic_(1997_film),True,,,
343,1997 (70th),Peter Cattaneo,The Full Monty,[82],/wiki/The_Full_Monty,False,,,
344,1997 (70th),Atom Egoyan,The Sweet Hereafter,[82],/wiki/The_Sweet_Hereafter_(film),False,,,
345,1997 (70th),Curtis Hanson,L.A. Confidential,[82],/wiki/L.A._Confidential_(film),False,,,
346,1997 (70th),Gus Van Sant,Good Will Hunting,[82],/wiki/Good_Will_Hunting,False,,,
347,1998 (71st),Steven Spielberg,Saving Private Ryan,[83],/wiki/Saving_Private_Ryan,True,,,
348,1998 (71st),Roberto Benigni,Life Is Beautiful,[83],/wiki/Life_Is_Beautiful,False,,,
349,1998 (71st),John Madden,Shakespeare in Love,[83],/wiki/Shakespeare_in_Love,False,,,
350,1998 (71st),Terrence Malick,The Thin Red Line,[83],/wiki/The_Thin_Red_Line_(1998_film),False,,,
351,1998 (71st),Peter Weir,The Truman Show,[83],/wiki/The_Truman_Show,False,,,
352,1999 (72nd),Sam Mendes,American Beauty,[84],/wiki/American_Beauty_(1999_film),True,,,
353,1999 (72nd),Lasse Hallström,The Cider House Rules,[84],/wiki/The_Cider_House_Rules_(film),False,,,
354,1999 (72nd),Spike Jonze,Being John Malkovich,[84],/wiki/Being_John_Malkovich,False,,,
355,1999 (72nd),Michael Mann,The Insider,[84],/wiki/The_Insider_(film),False,,,
356,1999 (72nd),M. Night Shyamalan,The Sixth Sense,[84],/wiki/The_Sixth_Sense,False,,,
357,2000 (73rd),Steven Soderbergh,Traffic,[85],/wiki/Traffic_(2000_film),True,,,
358,2000 (73rd),Stephen Daldry,Billy Elliot,[85],/wiki/Billy_Elliot,False,,,
359,2000 (73rd),Ang Lee,"Crouching Tiger, Hidden Dragon",[85],"/wiki/Crouching_Tiger,_Hidden_Dragon",False,,,
360,2000 (73rd),Ridley Scott,Gladiator,[85],/wiki/Gladiator_(2000_film),False,,,
361,2000 (73rd),Steven Soderbergh,Erin Brockovich,[85],/wiki/Erin_Brockovich_(film),False,,,
362,2001 (74th),Ron Howard,A Beautiful Mind,[86],/wiki/A_Beautiful_Mind_(film),True,,,
363,2001 (74th),Robert Altman,Gosford Park,[86],/wiki/Gosford_Park,False,,,
364,2001 (74th),Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,[86],/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,,,
365,2001 (74th),David Lynch,Mulholland Drive,[86],/wiki/Mulholland_Drive_(film),False,,,
366,2001 (74th),Ridley Scott,Black Hawk Down,[86],/wiki/Black_Hawk_Down_(film),False,,,
367,2002 (75th),Roman Polanski,The Pianist,[87],/wiki/The_Pianist_(2002_film),True,,,
368,2002 (75th),Pedro Almodóvar,Talk to Her,[87],/wiki/Talk_to_Her,False,,,
369,2002 (75th),Stephen Daldry,The Hours,[87],/wiki/The_Hours_(film),False,,,
370,2002 (75th),Rob Marshall,Chicago,[87],/wiki/Chicago_(2002_film),False,,,
371,2002 (75th),Martin Scorsese,Gangs of New York,[87],/wiki/Gangs_of_New_York,False,,,
372,2003 (76th),Peter Jackson,The Lord of the Rings: The Return of the King,[88],/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True,,,
373,2003 (76th),Sofia Coppola,Lost in Translation,[88],/wiki/Lost_in_Translation_(film),False,,,
374,2003 (76th),Clint Eastwood,Mystic River,[88],/wiki/Mystic_River_(film),False,,,
375,2003 (76th),Fernando Meirelles,City of God,[88],/wiki/City_of_God_(2002_film),False,,,
376,2003 (76th),Peter Weir,Master and Commander: The Far Side of the World,[88],/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False,,,
377,2004 (77th),Clint Eastwood,Million Dollar Baby,[89],/wiki/Million_Dollar_Baby,True,,,
378,2004 (77th),Taylor Hackford,Ray,[89],/wiki/Ray_(film),False,,,
379,2004 (77th),Mike Leigh,Vera Drake,[89],/wiki/Vera_Drake,False,,,
380,2004 (77th),Alexander Payne,Sideways,[89],/wiki/Sideways,False,,,
381,2004 (77th),Martin Scorsese,The Aviator,[89],/wiki/The_Aviator_(2004_film),False,,,
382,2005 (78th),Ang Lee,Brokeback Mountain,[90],/wiki/Brokeback_Mountain,True,,,
383,2005 (78th),George Clooney,"Good Night, and Good Luck",[90],"/wiki/Good_Night,_and_Good_Luck",False,,,
384,2005 (78th),Paul Haggis,Crash,[90],/wiki/Crash_(2004_film),False,,,
385,2005 (78th),Bennett Miller,Capote,[90],/wiki/Capote_(film),False,,,
386,2005 (78th),Steven Spielberg,Munich,[90],/wiki/Munich_(2005_film),False,,,
387,2006 (79th),Martin Scorsese,The Departed,[91],/wiki/The_Departed,True,,,
388,2006 (79th),Clint Eastwood,Letters from Iwo Jima,[91],/wiki/Letters_from_Iwo_Jima,False,,,
389,2006 (79th),Stephen Frears,The Queen,[91],/wiki/The_Queen_(2006_film),False,,,
390,2006 (79th),Paul Greengrass,United 93,[91],/wiki/United_93_(film),False,,,
391,2006 (79th),Alejandro González Iñárritu,Babel,[91],/wiki/Babel_(film),False,,,
392,2007 (80th),Joel Coen and Ethan Coen,No Country for Old Men,[92],/wiki/No_Country_for_Old_Men,True,,,
393,2007 (80th),Paul Thomas Anderson,There Will Be Blood,[92],/wiki/There_Will_Be_Blood,False,,,
394,2007 (80th),Tony Gilroy,Michael Clayton,[92],/wiki/Michael_Clayton,False,,,
395,2007 (80th),Jason Reitman,Juno,[92],/wiki/Juno_(film),False,,,
396,2007 (80th),Julian Schnabel,The Diving Bell and the Butterfly,[92],/wiki/The_Diving_Bell_and_the_Butterfly_(film),False,,,
397,2008 (81st),Danny Boyle,Slumdog Millionaire,[93],/wiki/Slumdog_Millionaire,True,,,
398,2008 (81st),Stephen Daldry,The Reader,[93],/wiki/The_Reader_(2008_film),False,,,
399,2008 (81st),David Fincher,The Curious Case of Benjamin Button,[93],/wiki/The_Curious_Case_of_Benjamin_Button_(film),False,,,
400,2008 (81st),Ron Howard,Frost/Nixon,[93],/wiki/Frost/Nixon_(film),False,,,
401,2008 (81st),Gus Van Sant,Milk,[93],/wiki/Milk_(2008_American_film),False,,,
402,2009 (82nd),Kathryn Bigelow,The Hurt Locker,[94],/wiki/The_Hurt_Locker,True,,,
403,2009 (82nd),James Cameron,Avatar,[94],/wiki/Avatar_(2009_film),False,,,
404,2009 (82nd),Lee Daniels,Precious,[94],/wiki/Precious_(film),False,,,
405,2009 (82nd),Jason Reitman,Up in the Air,[94],/wiki/Up_in_the_Air_(2009_film),False,,,
406,2009 (82nd),Quentin Tarantino,Inglourious Basterds,[94],/wiki/Inglourious_Basterds,False,,,
407,2010 (83rd),Tom Hooper,The King's Speech,[95],/wiki/The_King%27s_Speech,True,,,
408,2010 (83rd),Darren Aronofsky,Black Swan,[95],/wiki/Black_Swan_(film),False,,,
409,2010 (83rd),Joel Coen and Ethan Coen,True Grit,[95],/wiki/True_Grit_(2010_film),False,,,
410,2010 (83rd),David Fincher,The Social Network,[95],/wiki/The_Social_Network,False,,,
411,2010 (83rd),David O. Russell,The Fighter,[95],/wiki/The_Fighter,False,,,
412,2011 (84th),Michel Hazanavicius,The Artist,[96],/wiki/The_Artist_(film),True,,,
413,2011 (84th),Woody Allen,Midnight in Paris,[96],/wiki/Midnight_in_Paris,False,,,
414,2011 (84th),Terrence Malick,The Tree of Life,[96],/wiki/The_Tree_of_Life_(film),False,,,
415,2011 (84th),Alexander Payne,The Descendants,[96],/wiki/The_Descendants,False,,,
416,2011 (84th),Martin Scorsese,Hugo,[96],/wiki/Hugo_(film),False,,,
417,2012 (85th),Ang Lee,Life of Pi,[97],/wiki/Life_of_Pi_(film),True,,,
418,2012 (85th),Michael Haneke,Amour,[97],/wiki/Amour_(2012_film),False,,,
419,2012 (85th),David O. Russell,Silver Linings Playbook,[97],/wiki/Silver_Linings_Playbook,False,,,
420,2012 (85th),Steven Spielberg,Lincoln,[97],/wiki/Lincoln_(film),False,,,
421,2012 (85th),Benh Zeitlin,Beasts of the Southern Wild,[97],/wiki/Beasts_of_the_Southern_Wild,False,,,
422,2013 (86th),Alfonso Cuarón,Gravity,[98],/wiki/Gravity_(2013_film),True,,,
423,2013 (86th),Steve McQueen,12 Years a Slave,[98],/wiki/12_Years_a_Slave_(film),False,,,
424,2013 (86th),Alexander Payne,Nebraska,[98],/wiki/Nebraska_(film),False,,,
425,2013 (86th),David O. Russell,American Hustle,[98],/wiki/American_Hustle,False,,,
426,2013 (86th),Martin Scorsese,The Wolf of Wall Street,[98],/wiki/The_Wolf_of_Wall_Street_(2013_film),False,,,
427,2014 (87th),Alejandro González Iñárritu,Birdman,[99],/wiki/Birdman_(film),True,,,
428,2014 (87th),Wes Anderson,The Grand Budapest Hotel,[99],/wiki/The_Grand_Budapest_Hotel,False,,,
429,2014 (87th),Richard Linklater,Boyhood,[99],/wiki/Boyhood_(2014_film),False,,,
430,2014 (87th),Bennett Miller,Foxcatcher,[99],/wiki/Foxcatcher,False,,,
431,2014 (87th),Morten Tyldum,The Imitation Game,[99],/wiki/The_Imitation_Game,False,,,
432,2015 (88th),Alejandro González Iñárritu,The Revenant,[100],/wiki/The_Revenant_(2015_film),True,,,
433,2015 (88th),Lenny Abrahamson,Room,[100],/wiki/Room_(2015_film),False,,,
434,2015 (88th),Tom McCarthy,Spotlight,[100],/wiki/Spotlight_(film),False,,,
435,2015 (88th),Adam McKay,The Big Short,[100],/wiki/The_Big_Short_(film),False,,,
436,2015 (88th),George Miller,Mad Max: Fury Road,[100],/wiki/Mad_Max:_Fury_Road,False,,,
437,2016 (89th),Damien Chazelle,La La Land,[101],/wiki/La_La_Land,True,,,
438,2016 (89th),Mel Gibson,Hacksaw Ridge,[101],/wiki/Hacksaw_Ridge,False,,,
439,2016 (89th),Barry Jenkins,Moonlight,[101],/wiki/Moonlight_(2016_film),False,,,
440,2016 (89th),Kenneth Lonergan,Manchester by the Sea,[101],/wiki/Manchester_by_the_Sea_(film),False,,,
441,2016 (89th),Denis Villeneuve,Arrival,[101],/wiki/Arrival_(film),False,,,
442,2017 (90th),Guillermo del Toro,The Shape of Water,[102],/wiki/The_Shape_of_Water,True,,,
443,2017 (90th),Paul Thomas Anderson,Phantom Thread,[102],/wiki/Phantom_Thread,False,,,
444,2017 (90th),Greta Gerwig,Lady Bird,[102],/wiki/Lady_Bird_(film),False,,,
445,2017 (90th),Christopher Nolan,Dunkirk,[102],/wiki/Dunkirk_(2017_film),False,,,
446,2017 (90th),Jordan Peele,Get Out,[102],/wiki/Get_Out,False,,,
447,2018 (91st),Alfonso Cuarón,Roma,[103],/wiki/Roma_(2018_film),True,,,
448,2018 (91st),Yorgos Lanthimos,The Favourite,[103],/wiki/The_Favourite,False,,,
449,2018 (91st),Spike Lee,BlacKkKlansman,[103],/wiki/BlacKkKlansman,False,,,
450,2018 (91st),Adam McKay,Vice,[103],/wiki/Vice_(2018_film),False,,,
451,2018 (91st),Paweł Pawlikowski,Cold War,[103],/wiki/Cold_War_(2018_film),False,,,
452,2019 (92nd),Bong Joon-ho,Parasite,[104],/wiki/Parasite_(2019_film),True,,,
453,2019 (92nd),Sam Mendes,1917,[104],/wiki/1917_(2019_film),False,,,
454,2019 (92nd),Todd Phillips,Joker,[104],/wiki/Joker_(2019_film),False,,,
455,2019 (92nd),Martin Scorsese,The Irishman,[104],/wiki/The_Irishman,False,,,
456,2019 (92nd),Quentin Tarantino,Once Upon a Time in Hollywood,[104],/wiki/Once_Upon_a_Time_in_Hollywood,False,,,
457,2020/21 [e] (93rd),Chloé Zhao,Nomadland,[105],/wiki/Nomadland,True,,,
458,2020/21 [e] (93rd),Lee Isaac Chung,Minari,[105],/wiki/Minari_(film),False,,,
459,2020/21 [e] (93rd),Emerald Fennell,Promising Young Woman,[105],/wiki/Promising_Young_Woman,False,,,
460,2020/21 [e] (93rd),David Fincher,Mank,[105],/wiki/Mank,False,,,
461,2020/21 [e] (93rd),Thomas Vinterberg,Another Round,[105],/wiki/Another_Round_(film),False,,,
462,2021 (94th),Jane Campion,The Power of the Dog,[106],/wiki/The_Power_of_the_Dog_(film),True,,,
463,2021 (94th),Paul Thomas Anderson,Licorice Pizza,[106],/wiki/Licorice_Pizza,False,,,
464,2021 (94th),Kenneth Branagh,Belfast,[106],/wiki/Belfast_(film),False,,,
465,2021 (94th),Ryusuke Hamaguchi,Drive My Car,[106],/wiki/Drive_My_Car_(film),False,,,
466,2021 (94th),Steven Spielberg,West Side Story,[106],/wiki/West_Side_Story_(2021_film),False,,,
467,2022 (95th),Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,[107],/wiki/Everything_Everywhere_All_at_Once,True,,,
468,2022 (95th),Todd Field,Tár,[107],/wiki/T%C3%A1r,False,,,
469,2022 (95th),Martin McDonagh,The Banshees of Inisherin,[107],/wiki/The_Banshees_of_Inisherin,False,,,
470,2022 (95th),Ruben Östlund,Triangle of Sadness,[107],/wiki/Triangle_of_Sadness,False,,,
471,2022 (95th),Steven Spielberg,The Fabelmans,[107],/wiki/The_Fabelmans,False,,,
472,2023 (96th),Jonathan Glazer,The Zone of Interest,,/wiki/The_Zone_of_Interest_(film),False,,,
473,2023 (96th),Yorgos Lanthimos,Poor Things,,/wiki/Poor_Things_(film),False,,,
474,2023 (96th),Christopher Nolan,Oppenheimer,,/wiki/Oppenheimer_(film),False,,,
475,2023 (96th),Martin Scorsese,Killers of the Flower Moon,,/wiki/Killers_of_the_Flower_Moon_(film),False,,,
476,2023 (96th),Justine Triet,Anatomy of a Fall,,/wiki/Anatomy_of_a_Fall,False,,,
477,,,Million Dollar Baby,[108],/wiki/Million_Dollar_Baby,False,Oldest winner,Clint Eastwood,74.0
478,,,Killers of the Flower Moon,[109],/wiki/Killers_of_the_Flower_Moon_(film),False,Oldest nominee,Martin Scorsese,81.0
479,,,La La Land,[108],/wiki/La_La_Land,False,Youngest winner,Damien Chazelle,32.0
480,,,Boyz n the Hood,[108],/wiki/Boyz_n_the_Hood,False,Youngest nominee,John Singleton,24.0
