,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
224,1980 (53rd),Jason Robards,Howard Hughes,Melvin and Howard,[54],/wiki/Melvin_and_Howard,False,,
225,1981 (54th),John Gielgud ‡,Hobson,Arthur,[55],/wiki/Arthur_(1981_film),True,,
226,1981 (54th),James Coco,Jimmy Perry,Only When I Laugh,[55],/wiki/Only_When_I_Laugh_(film),False,,
227,1981 (54th),Ian Holm,Sam Mussabini,Chariots of Fire,[55],/wiki/Chariots_of_Fire,False,,
228,1981 (54th),Jack Nicholson,Eugene O'Neill,Reds,[55],/wiki/Reds_(film),False,,
229,1981 (54th),Howard E. Rollins Jr.,Coalhouse Walker Jr.,Ragtime,[55],/wiki/Ragtime_(film),False,,
230,1982 (55th),Louis Gossett Jr. ‡,Gunnery Sgt. Emil Foley,An Officer and a Gentleman,[56],/wiki/An_Officer_and_a_Gentleman,True,,
231,1982 (55th),Charles Durning,The Governor of Texas,The Best Little Whorehouse in Texas,[56],/wiki/The_Best_Little_Whorehouse_in_Texas_(film),False,,
232,1982 (55th),John Lithgow,Roberta Muldoon,The World According to Garp,[56],/wiki/The_World_According_to_Garp_(film),False,,
233,1982 (55th),James Mason,Ed Concannon,The Verdict,[56],/wiki/The_Verdict,False,,
234,1982 (55th),Robert Preston,Carroll 'Toddy' Todd,Victor/Victoria,[56],/wiki/Victor/Victoria,False,,
235,1983 (56th),Jack Nicholson ‡,Garrett Breedlove,Terms of Endearment,[57],/wiki/Terms_of_Endearment,True,,
236,1983 (56th),Charles Durning,Colonel Erhardt,To Be or Not to Be,[57],/wiki/To_Be_or_Not_to_Be_(1983_film),False,,
237,1983 (56th),John Lithgow,Sam Burns,Terms of Endearment,[57],/wiki/Terms_of_Endearment,True,,
238,1983 (56th),Sam Shepard,Chuck Yeager,The Right Stuff,[57],/wiki/The_Right_Stuff_(film),False,,
239,1983 (56th),Rip Torn,Marsh Turner,Cross Creek,[57],/wiki/Cross_Creek_(film),False,,
240,1984 (57th),Haing S. Ngor ‡,Dith Pran,The Killing Fields,[58],/wiki/The_Killing_Fields_(film),True,,
241,1984 (57th),Adolph Caesar,Sgt. Vernon Waters,A Soldier's Story,[58],/wiki/A_Soldier%27s_Story,False,,
242,1984 (57th),John Malkovich,Mr. Will,Places in the Heart,[58],/wiki/Places_in_the_Heart,False,,
243,1984 (57th),Pat Morita,Mr. Miyagi,The Karate Kid,[58],/wiki/The_Karate_Kid,False,,
244,1984 (57th),Ralph Richardson †,The Sixth Earl of Greystoke,"Greystoke: The Legend of Tarzan, Lord of the Apes",[58],"/wiki/Greystoke:_The_Legend_of_Tarzan,_Lord_of_the_Apes",False,,
245,1985 (58th),Don Ameche ‡,Arthur Selwyn,Cocoon,[59],/wiki/Cocoon_(film),True,,
246,1985 (58th),Klaus Maria Brandauer,Baron Bror von Blixen-Finecke and Baron Hans von Blixen-Finecke,Out of Africa,[59],/wiki/Out_of_Africa_(film),False,,
247,1985 (58th),William Hickey,Don Corrado Prizzi,Prizzi's Honor,[59],/wiki/Prizzi%27s_Honor,False,,
248,1985 (58th),Robert Loggia,Sam Ransom,Jagged Edge,[59],/wiki/Jagged_Edge_(film),False,,
249,1985 (58th),Eric Roberts,Buck McGeehy,Runaway Train,[59],/wiki/Runaway_Train_(film),False,,
250,1986 (59th),Michael Caine ‡,Elliott Daniels,Hannah and Her Sisters,[60],/wiki/Hannah_and_Her_Sisters,True,,
251,1986 (59th),Tom Berenger,Sgt. Bob Barnes,Platoon,[60],/wiki/Platoon_(film),False,,
252,1986 (59th),Willem Dafoe,Sgt. Elias Grodin,Platoon,[60],/wiki/Platoon_(film),False,,
253,1986 (59th),Denholm Elliott,Mr. Emerson,A Room with a View,[60],/wiki/A_Room_with_a_View_(1985_film),False,,
254,1986 (59th),Dennis Hopper,"Wilbur ""Shooter"" Flatch",Hoosiers,[60],/wiki/Hoosiers_(film),False,,
255,1987 (60th),Sean Connery ‡,Jimmy Malone,The Untouchables,[61],/wiki/The_Untouchables_(film),True,,
256,1987 (60th),Albert Brooks,Aaron Altman,Broadcast News,[61],/wiki/Broadcast_News_(film),False,,
257,1987 (60th),Morgan Freeman,"Leo ""Fast Black"" Smalls Jr.",Street Smart,[61],/wiki/Street_Smart_(film),False,,
258,1987 (60th),Vincent Gardenia,Cosmo Castorini,Moonstruck,[61],/wiki/Moonstruck,False,,
259,1987 (60th),Denzel Washington,Steve Biko,Cry Freedom,[61],/wiki/Cry_Freedom,False,,
260,1988 (61st),Kevin Kline ‡,Otto West,A Fish Called Wanda,[62],/wiki/A_Fish_Called_Wanda,True,,
261,1988 (61st),Alec Guinness,William Dorrit,Little Dorrit,[62],/wiki/Little_Dorrit_(1987_film),False,,
262,1988 (61st),Martin Landau,Abe Karatz,Tucker: The Man and His Dream,[62],/wiki/Tucker:_The_Man_and_His_Dream,False,,
263,1988 (61st),River Phoenix,Danny Pope,Running on Empty,[62],/wiki/Running_on_Empty_(1988_film),False,,
264,1988 (61st),Dean Stockwell,"Tony ""The Tiger"" Russo",Married to the Mob,[62],/wiki/Married_to_the_Mob,False,,
265,1989 (62nd),Denzel Washington ‡,Pvt. Silas Trip,Glory,[63],/wiki/Glory_(1989_film),True,,
266,1989 (62nd),Danny Aiello,Sal Frangione,Do the Right Thing,[63],/wiki/Do_the_Right_Thing,False,,
267,1989 (62nd),Dan Aykroyd,Boolie Werthan,Driving Miss Daisy,[63],/wiki/Driving_Miss_Daisy,False,,
268,1989 (62nd),Marlon Brando,Ian Mackenzie,A Dry White Season,[63],/wiki/A_Dry_White_Season,False,,
269,1989 (62nd),Martin Landau,Judah Rosenthal,Crimes and Misdemeanors,[63],/wiki/Crimes_and_Misdemeanors,False,,
270,1990 (63rd),Joe Pesci ‡,Tommy DeVito,GoodFellas,[64],/wiki/Goodfellas,True,,
271,1990 (63rd),Bruce Davison,David,Longtime Companion,[64],/wiki/Longtime_Companion,False,,
272,1990 (63rd),Andy García,Vincent Mancini,The Godfather Part III,[64],/wiki/The_Godfather_Part_III,False,,
273,1990 (63rd),Graham Greene,Kicking Bird,Dances with Wolves,[64],/wiki/Dances_with_Wolves,False,,
274,1990 (63rd),Al Pacino,"Alphonse ""Big Boy"" Caprice",Dick Tracy,[64],/wiki/Dick_Tracy_(1990_film),False,,
275,1991 (64th),Jack Palance ‡,Curly Washburn,City Slickers,[65],/wiki/City_Slickers,True,,
276,1991 (64th),Tommy Lee Jones,Clay Shaw,JFK,[65],/wiki/JFK_(film),False,,
277,1991 (64th),Harvey Keitel,Mickey Cohen,Bugsy,[65],/wiki/Bugsy,False,,
278,1991 (64th),Ben Kingsley,Meyer Lansky,Bugsy,[65],/wiki/Bugsy,False,,
279,1991 (64th),Michael Lerner,Jack Lipnick,Barton Fink,[65],/wiki/Barton_Fink,False,,
280,1992 (65th),Gene Hackman ‡,"""Little"" Bill Daggett",Unforgiven,[66],/wiki/Unforgiven,True,,
281,1992 (65th),Jaye Davidson,Dil,The Crying Game,[66],/wiki/The_Crying_Game,False,,
282,1992 (65th),Jack Nicholson,Col. Nathan R. Jessep,A Few Good Men,[66],/wiki/A_Few_Good_Men,False,,
283,1992 (65th),Al Pacino,"Richard ""Ricky"" Roma",Glengarry Glen Ross,[66],/wiki/Glengarry_Glen_Ross_(film),False,,
284,1992 (65th),David Paymer,Stan Young,Mr. Saturday Night,[66],/wiki/Mr._Saturday_Night,False,,
285,1993 (66th),Tommy Lee Jones ‡,U.S. Marshal Samuel Gerard,The Fugitive,[67],/wiki/The_Fugitive_(1993_film),True,,
286,1993 (66th),Leonardo DiCaprio,Arnie Grape,What's Eating Gilbert Grape,[67],/wiki/What%27s_Eating_Gilbert_Grape,False,,
287,1993 (66th),Ralph Fiennes,Amon Göth,Schindler's List,[67],/wiki/Schindler%27s_List,False,,
288,1993 (66th),John Malkovich,Mitch Leary,In the Line of Fire,[67],/wiki/In_the_Line_of_Fire,False,,
289,1993 (66th),Pete Postlethwaite,Giuseppe Conlon,In the Name of the Father,[67],/wiki/In_the_Name_of_the_Father_(film),False,,
290,1994 (67th),Martin Landau ‡,Béla Lugosi,Ed Wood,[68],/wiki/Ed_Wood_(film),True,,
291,1994 (67th),Samuel L. Jackson,Jules Winnfield,Pulp Fiction,[68],/wiki/Pulp_Fiction,False,,
292,1994 (67th),Chazz Palminteri,Cheech,Bullets over Broadway,[68],/wiki/Bullets_over_Broadway,False,,
293,1994 (67th),Paul Scofield,Mark Van Doren,Quiz Show,[68],/wiki/Quiz_Show_(film),False,,
294,1994 (67th),Gary Sinise,Lt. Dan Taylor,Forrest Gump,[68],/wiki/Forrest_Gump,False,,
295,1995 (68th),Kevin Spacey ‡,"Roger ""Verbal"" Kint",The Usual Suspects,[69],/wiki/The_Usual_Suspects,True,,
296,1995 (68th),James Cromwell,Arthur Hoggett,Babe,[69],/wiki/Babe_(film),False,,
297,1995 (68th),Ed Harris,Gene Kranz,Apollo 13,[69],/wiki/Apollo_13_(film),False,,
298,1995 (68th),Brad Pitt,Jeffrey Goines,12 Monkeys,[69],/wiki/12_Monkeys,False,,
299,1995 (68th),Tim Roth,Archibald Cunningham,Rob Roy,[69],/wiki/Rob_Roy_(1995_film),False,,
300,1996 (69th),Cuba Gooding Jr. ‡,Rod Tidwell,Jerry Maguire,[70],/wiki/Jerry_Maguire,True,,
301,1996 (69th),William H. Macy,Jerry Lundegaard,Fargo,[70],/wiki/Fargo_(1996_film),False,,
302,1996 (69th),Armin Mueller-Stahl,Peter Helfgott,Shine,[70],/wiki/Shine_(film),False,,
303,1996 (69th),Edward Norton,Aaron Stampler,Primal Fear,[70],/wiki/Primal_Fear_(film),False,,
304,1996 (69th),James Woods,Byron De La Beckwith,Ghosts of Mississippi,[70],/wiki/Ghosts_of_Mississippi,False,,
305,1997 (70th),Robin Williams ‡,Sean Maguire,Good Will Hunting,[71],/wiki/Good_Will_Hunting,True,,
306,1997 (70th),Robert Forster,Max Cherry,Jackie Brown,[71],/wiki/Jackie_Brown,False,,
307,1997 (70th),Anthony Hopkins,John Quincy Adams,Amistad,[71],/wiki/Amistad_(film),False,,
308,1997 (70th),Greg Kinnear,Simon Bishop,As Good as It Gets,[71],/wiki/As_Good_as_It_Gets,False,,
309,1997 (70th),Burt Reynolds,Jack Horner,Boogie Nights,[71],/wiki/Boogie_Nights,False,,
310,1998 (71st),James Coburn ‡,Glen Whitehouse,Affliction,[72],/wiki/Affliction_(1997_film),True,,
311,1998 (71st),Robert Duvall,Jerome Facher,A Civil Action,[72],/wiki/A_Civil_Action_(film),False,,
312,1998 (71st),Ed Harris,Christof,The Truman Show,[72],/wiki/The_Truman_Show,False,,
313,1998 (71st),Geoffrey Rush,Philip Henslowe,Shakespeare in Love,[72],/wiki/Shakespeare_in_Love,False,,
314,1998 (71st),Billy Bob Thornton,Jacob Mitchell,A Simple Plan,[72],/wiki/A_Simple_Plan_(film),False,,
315,1999 (72nd),Michael Caine ‡,Dr. Wilbur Larch,The Cider House Rules,[73],/wiki/The_Cider_House_Rules_(film),True,,
316,1999 (72nd),Tom Cruise,Frank T.J. Mackey,Magnolia,[73],/wiki/Magnolia_(film),False,,
317,1999 (72nd),Michael Clarke Duncan,John Coffey,The Green Mile,[73],/wiki/The_Green_Mile_(film),False,,
318,1999 (72nd),Jude Law,Dickie Greenleaf,The Talented Mr. Ripley,[73],/wiki/The_Talented_Mr._Ripley_(film),False,,
319,1999 (72nd),Haley Joel Osment,Cole Sear,The Sixth Sense,[73],/wiki/The_Sixth_Sense,False,,
320,2000 (73rd),Benicio del Toro ‡,Javier Rodriguez,Traffic,[74],/wiki/Traffic_(2000_film),True,,
321,2000 (73rd),Jeff Bridges,Jackson Evans,The Contender,[74],/wiki/The_Contender_(2000_film),False,,
322,2000 (73rd),Willem Dafoe,Max Schreck,Shadow of the Vampire,[74],/wiki/Shadow_of_the_Vampire,False,,
323,2000 (73rd),Albert Finney,Edward L. Masry,Erin Brockovich,[74],/wiki/Erin_Brockovich_(film),False,,
324,2000 (73rd),Joaquin Phoenix,Emperor Commodus,Gladiator,[74],/wiki/Gladiator_(2000_film),False,,
325,2001 (74th),Jim Broadbent ‡,John Bayley,Iris,[75],/wiki/Iris_(2001_film),True,,
326,2001 (74th),Ethan Hawke,Jake Hoyt,Training Day,[75],/wiki/Training_Day,False,,
327,2001 (74th),Ben Kingsley,Don Logan,Sexy Beast,[75],/wiki/Sexy_Beast,False,,
328,2001 (74th),Ian McKellen,Gandalf the Grey,The Lord of the Rings: The Fellowship of the Ring,[75],/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,,
329,2001 (74th),Jon Voight,Howard Cosell,Ali,[75],/wiki/Ali_(film),False,,
330,2002 (75th),Chris Cooper ‡,John Laroche,Adaptation,[76],/wiki/Adaptation_(film),True,,
331,2002 (75th),Ed Harris,"Richard ""Richie"" Brown",The Hours,[76],/wiki/The_Hours_(film),False,,
332,2002 (75th),Paul Newman,John Rooney,Road to Perdition,[76],/wiki/Road_to_Perdition,False,,
333,2002 (75th),John C. Reilly,Amos Hart,Chicago,[76],/wiki/Chicago_(2002_film),False,,
334,2002 (75th),Christopher Walken,Frank Abagnale Sr.,Catch Me If You Can,[76],/wiki/Catch_Me_If_You_Can,False,,
335,2003 (76th),Tim Robbins ‡,Dave Boyle,Mystic River,[77],/wiki/Mystic_River_(film),True,,
336,2003 (76th),Alec Baldwin,Shelly Kaplow,The Cooler,[77],/wiki/The_Cooler,False,,
337,2003 (76th),Benicio del Toro,Jack Jordan,21 Grams,[77],/wiki/21_Grams,False,,
338,2003 (76th),Djimon Hounsou,Mateo,In America,[77],/wiki/In_America_(film),False,,
339,2003 (76th),Ken Watanabe,Lord Moritsugu Katsumoto,The Last Samurai,[77],/wiki/The_Last_Samurai,False,,
340,2004 (77th),Morgan Freeman ‡,"Eddie ""Scrap-Iron"" Dupris",Million Dollar Baby,[78],/wiki/Million_Dollar_Baby,True,,
341,2004 (77th),Alan Alda,Owen Brewster,The Aviator,[78],/wiki/The_Aviator_(2004_film),False,,
342,2004 (77th),Thomas Haden Church,Jack Cole,Sideways,[78],/wiki/Sideways,False,,
343,2004 (77th),Jamie Foxx,Max Durocher,Collateral,[78],/wiki/Collateral_(film),False,,
344,2004 (77th),Clive Owen,Larry Gray,Closer,[78],/wiki/Closer_(2004_film),False,,
345,2005 (78th),George Clooney ‡,Bob Barnes,Syriana,[79],/wiki/Syriana,True,,
346,2005 (78th),Matt Dillon,John Ryan,Crash,[79],/wiki/Crash_(2004_film),False,,
347,2005 (78th),Paul Giamatti,Joe Gould,Cinderella Man,[79],/wiki/Cinderella_Man,False,,
348,2005 (78th),Jake Gyllenhaal,Jack Twist,Brokeback Mountain,[79],/wiki/Brokeback_Mountain,False,,
349,2005 (78th),William Hurt,Richie Cusack,A History of Violence,[79],/wiki/A_History_of_Violence,False,,
350,2006 (79th),Alan Arkin ‡,Edwin Hoover,Little Miss Sunshine,[80],/wiki/Little_Miss_Sunshine,True,,
351,2006 (79th),Jackie Earle Haley,Ronald James McGorvey,Little Children,[80],/wiki/Little_Children_(film),False,,
352,2006 (79th),Djimon Hounsou,Solomon Vandy,Blood Diamond,[80],/wiki/Blood_Diamond,False,,
353,2006 (79th),Eddie Murphy,"James ""Thunder"" Early",Dreamgirls,[80],/wiki/Dreamgirls_(film),False,,
354,2006 (79th),Mark Wahlberg,Sean Dignam,The Departed,[80],/wiki/The_Departed,False,,
355,2007 (80th),Javier Bardem ‡,Anton Chigurh,No Country for Old Men,[81],/wiki/No_Country_for_Old_Men,True,,
356,2007 (80th),Casey Affleck,Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,[81],/wiki/The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford,False,,
357,2007 (80th),Philip Seymour Hoffman,Gust Avrakotos,Charlie Wilson's War,[81],/wiki/Charlie_Wilson%27s_War_(film),False,,
358,2007 (80th),Hal Holbrook,Ron Franz,Into the Wild,[81],/wiki/Into_the_Wild_(film),False,,
359,2007 (80th),Tom Wilkinson,Arthur Edens,Michael Clayton,[81],/wiki/Michael_Clayton,False,,
360,2008 (81st),Heath Ledger †,The Joker,The Dark Knight,[82],/wiki/The_Dark_Knight,True,,
361,2008 (81st),Josh Brolin,Dan White,Milk,[82],/wiki/Milk_(2008_American_film),False,,
362,2008 (81st),Robert Downey Jr.,Kirk Lazarus,Tropic Thunder,[82],/wiki/Tropic_Thunder,False,,
363,2008 (81st),Philip Seymour Hoffman,Father Brendan Flynn,Doubt,[82],/wiki/Doubt_(2008_film),False,,
364,2008 (81st),Michael Shannon,John Givings Jr.,Revolutionary Road,[82],/wiki/Revolutionary_Road_(film),False,,
365,2009 (82nd),Christoph Waltz ‡,SS Colonel Hans Landa,Inglourious Basterds,[83],/wiki/Inglourious_Basterds,True,,
366,2009 (82nd),Matt Damon,Francois Pienaar,Invictus,[83],/wiki/Invictus_(film),False,,
367,2009 (82nd),Woody Harrelson,Captain Tony Stone,The Messenger,[83],/wiki/The_Messenger_(2009_film),False,,
368,2009 (82nd),Christopher Plummer,Leo Tolstoy,The Last Station,[83],/wiki/The_Last_Station,False,,
369,2009 (82nd),Stanley Tucci,George Harvey,The Lovely Bones,[83],/wiki/The_Lovely_Bones_(film),False,,
370,2010 (83rd),Christian Bale ‡,Dicky Eklund,The Fighter,[84],/wiki/The_Fighter,True,,
371,2010 (83rd),John Hawkes,Teardrop Dolly,Winter's Bone,[84],/wiki/Winter%27s_Bone,False,,
372,2010 (83rd),Jeremy Renner,"James ""Jem"" Coughlin",The Town,[84],/wiki/The_Town_(2010_film),False,,
373,2010 (83rd),Mark Ruffalo,Paul Hatfield,The Kids Are All Right,[84],/wiki/The_Kids_Are_All_Right_(film),False,,
374,2010 (83rd),Geoffrey Rush,Lionel Logue,The King's Speech,[84],/wiki/The_King%27s_Speech,False,,
375,2011 (84th),Christopher Plummer ‡,Hal Fields,Beginners,[85],/wiki/Beginners,True,,
376,2011 (84th),Kenneth Branagh,Laurence Olivier,My Week with Marilyn,[85],/wiki/My_Week_with_Marilyn,False,,
377,2011 (84th),Jonah Hill,Peter Brand,Moneyball,[85],/wiki/Moneyball_(film),False,,
378,2011 (84th),Nick Nolte,Paddy Conlon,Warrior,[85],/wiki/Warrior_(2011_film),False,,
379,2011 (84th),Max von Sydow,The Renter,Extremely Loud & Incredibly Close,[85],/wiki/Extremely_Loud_%26_Incredibly_Close_(film),False,,
380,2012 (85th),Christoph Waltz ‡,Dr. King Schultz,Django Unchained,[86],/wiki/Django_Unchained,True,,
381,2012 (85th),Alan Arkin,Lester Siegel,Argo,[86],/wiki/Argo_(2012_film),False,,
382,2012 (85th),Robert De Niro,Patrizio Solitano Sr.,Silver Linings Playbook,[86],/wiki/Silver_Linings_Playbook,False,,
383,2012 (85th),Philip Seymour Hoffman,Lancaster Dodd,The Master,[86],/wiki/The_Master_(2012_film),False,,
384,2012 (85th),Tommy Lee Jones,Thaddeus Stevens,Lincoln,[86],/wiki/Lincoln_(film),False,,
385,2013 (86th),Jared Leto ‡,Rayon,Dallas Buyers Club,[87],/wiki/Dallas_Buyers_Club,True,,
386,2013 (86th),Barkhad Abdi,Abduwali Muse,Captain Phillips,[87],/wiki/Captain_Phillips_(film),False,,
387,2013 (86th),Bradley Cooper,Richie DiMaso,American Hustle,[87],/wiki/American_Hustle,False,,
388,2013 (86th),Michael Fassbender,Edwin Epps,12 Years a Slave,[87],/wiki/12_Years_a_Slave_(film),False,,
389,2013 (86th),Jonah Hill,Donnie Azoff,The Wolf of Wall Street,[87],/wiki/The_Wolf_of_Wall_Street_(2013_film),False,,
390,2014 (87th),J. K. Simmons ‡,Terence Fletcher,Whiplash,[88],/wiki/Whiplash_(2014_film),True,,
391,2014 (87th),Robert Duvall,Joseph Palmer,The Judge,[88],/wiki/The_Judge_(2014_film),False,,
392,2014 (87th),Ethan Hawke,Mason Evans Sr.,Boyhood,[88],/wiki/Boyhood_(2014_film),False,,
393,2014 (87th),Edward Norton,Mike Shiner,Birdman,[88],/wiki/Birdman_(film),False,,
394,2014 (87th),Mark Ruffalo,David Schultz,Foxcatcher,[88],/wiki/Foxcatcher,False,,
395,2015 (88th),Mark Rylance ‡,Rudolf Abel,Bridge of Spies,[89],/wiki/Bridge_of_Spies_(film),True,,
396,2015 (88th),Christian Bale,Michael Burry,The Big Short,[89],/wiki/The_Big_Short_(film),False,,
397,2015 (88th),Tom Hardy,John Fitzgerald,The Revenant,[89],/wiki/The_Revenant_(2015_film),False,,
398,2015 (88th),Mark Ruffalo,Michael Rezendes,Spotlight,[89],/wiki/Spotlight_(film),False,,
399,2015 (88th),Sylvester Stallone,Rocky Balboa,Creed,[89],/wiki/Creed_(film),False,,
400,2016 (89th),Mahershala Ali ‡,Juan,Moonlight,[90],/wiki/Moonlight_(2016_film),True,,
401,2016 (89th),Jeff Bridges,Marcus Hamilton,Hell or High Water,[90],/wiki/Hell_or_High_Water_(2016_film),False,,
402,2016 (89th),Lucas Hedges,Patrick Chandler,Manchester by the Sea,[90],/wiki/Manchester_by_the_Sea_(film),False,,
403,2016 (89th),Dev Patel,Saroo Brierley,Lion,[90],/wiki/Lion_(2016_film),False,,
404,2016 (89th),Michael Shannon,Bobby Andes,Nocturnal Animals,[90],/wiki/Nocturnal_Animals,False,,
405,2017 (90th),Sam Rockwell ‡,Jason Dixon,"Three Billboards Outside Ebbing, Missouri",[91],"/wiki/Three_Billboards_Outside_Ebbing,_Missouri",True,,
406,2017 (90th),Willem Dafoe,Bobby Hicks,The Florida Project,[91],/wiki/The_Florida_Project,False,,
407,2017 (90th),Woody Harrelson,Bill Willoughby,"Three Billboards Outside Ebbing, Missouri",[91],"/wiki/Three_Billboards_Outside_Ebbing,_Missouri",True,,
408,2017 (90th),Richard Jenkins,Giles,The Shape of Water,[91],/wiki/The_Shape_of_Water,False,,
409,2017 (90th),Christopher Plummer,J. Paul Getty,All the Money in the World,[91],/wiki/All_the_Money_in_the_World,False,,
410,2018 (91st),Mahershala Ali ‡,Don Shirley,Green Book,[92],/wiki/Green_Book_(film),True,,
411,2018 (91st),Adam Driver,"Philip ""Flip"" Zimmerman",BlacKkKlansman,[92],/wiki/BlacKkKlansman,False,,
412,2018 (91st),Sam Elliott,Bobby Maine,A Star Is Born,[92],/wiki/A_Star_Is_Born_(2018_film),False,,
413,2018 (91st),Richard E. Grant,Jack Hock,Can You Ever Forgive Me?,[92],/wiki/Can_You_Ever_Forgive_Me%3F,False,,
414,2018 (91st),Sam Rockwell,George W. Bush,Vice,[92],/wiki/Vice_(2018_film),False,,
415,2019 (92nd),Brad Pitt ‡,Cliff Booth,Once Upon a Time in Hollywood,[93],/wiki/Once_Upon_a_Time_in_Hollywood,True,,
416,2019 (92nd),Tom Hanks,Fred Rogers,A Beautiful Day in the Neighborhood,[93],/wiki/A_Beautiful_Day_in_the_Neighborhood,False,,
417,2019 (92nd),Anthony Hopkins,Pope Benedict XVI,The Two Popes,[93],/wiki/The_Two_Popes,False,,
418,2019 (92nd),Al Pacino,Jimmy Hoffa,The Irishman,[93],/wiki/The_Irishman,False,,
419,2019 (92nd),Joe Pesci,Russell Bufalino,The Irishman,[93],/wiki/The_Irishman,False,,
420,2020/21 (93rd)[94],Daniel Kaluuya ‡,Fred Hampton,Judas and the Black Messiah[c],[96],,False,,
421,2020/21 (93rd)[94],Sacha Baron Cohen,Abbie Hoffman,The Trial of the Chicago 7,[96],/wiki/The_Trial_of_the_Chicago_7,False,,
422,2020/21 (93rd)[94],Leslie Odom Jr.,Sam Cooke,One Night in Miami...,[96],/wiki/One_Night_in_Miami...,False,,
423,2020/21 (93rd)[94],Paul Raci,Joe,Sound of Metal,[96],/wiki/Sound_of_Metal,False,,
424,2020/21 (93rd)[94],LaKeith Stanfield[c],William O'Neal,Judas and the Black Messiah,[96],/wiki/Judas_and_the_Black_Messiah,True,,
425,2021 (94th),Troy Kotsur ‡,Frank Rossi,CODA,[97],/wiki/CODA_(2021_film),True,,
426,2021 (94th),Ciarán Hinds,Pop,Belfast,[97],/wiki/Belfast_(film),False,,
427,2021 (94th),Jesse Plemons,George Burbank,The Power of the Dog,[97],/wiki/The_Power_of_the_Dog_(film),False,,
428,2021 (94th),J. K. Simmons,William Frawley,Being the Ricardos,[97],/wiki/Being_the_Ricardos,False,,
429,2021 (94th),Kodi Smit-McPhee,Peter Gordon,The Power of the Dog,[97],/wiki/The_Power_of_the_Dog_(film),False,,
430,2022 (95th),Ke Huy Quan ‡,Waymond Wang,Everything Everywhere All at Once,[98],/wiki/Everything_Everywhere_All_at_Once,True,,
431,2022 (95th),Brendan Gleeson,Colm Doherty,The Banshees of Inisherin,[98],/wiki/The_Banshees_of_Inisherin,False,,
432,2022 (95th),Brian Tyree Henry,James Aucoin,Causeway,[98],/wiki/Causeway_(film),False,,
433,2022 (95th),Judd Hirsch,Boris Podgorny,The Fabelmans,[98],/wiki/The_Fabelmans,False,,
434,2022 (95th),Barry Keoghan,Dominic Kearney,The Banshees of Inisherin,[98],/wiki/The_Banshees_of_Inisherin,False,,
435,2023 (96th),Sterling K. Brown,"Clifford ""Cliff"" Ellison",American Fiction,[99],/wiki/American_Fiction_(film),False,,
436,2023 (96th),Robert De Niro,William King Hale,Killers of the Flower Moon,[99],/wiki/Killers_of_the_Flower_Moon_(film),False,,
437,2023 (96th),Robert Downey Jr.,Lewis Strauss,Oppenheimer,[99],/wiki/Oppenheimer_(film),False,,
438,2023 (96th),Ryan Gosling,Ken,Barbie,[99],/wiki/Barbie_(film),False,,
439,2023 (96th),Mark Ruffalo,Duncan Wedderburn,Poor Things,[99],/wiki/Poor_Things_(film),False,,
440,,Christopher Plummer,,Beginners,[100],/wiki/Beginners,False,Oldest winner,82.0
441,,Christopher Plummer,,All the Money in the World,[100],/wiki/All_the_Money_in_the_World,False,Oldest nominee,88.0
442,,Timothy Hutton,,Ordinary People,[100],/wiki/Ordinary_People,False,Youngest winner,20.0
443,,Justin Henry,,Kramer vs. Kramer,[100],/wiki/Kramer_vs._Kramer,False,Youngest nominee,8.0
