,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
45,1945 (18th),James Dunn ‡,Johnny Nolan,A Tree Grows in Brooklyn,[18],/wiki/A_Tree_Grows_in_Brooklyn_(1945_film),True,,
46,1945 (18th),Michael Chekhov,"Dr. Alexander ""Alex"" Brulov",Spellbound,[18],/wiki/Spellbound_(1945_film),False,,
47,1945 (18th),John Dall,Morgan Evans,The Corn Is Green,[18],/wiki/The_Corn_Is_Green_(1945_film),False,,
48,1945 (18th),Robert Mitchum,Lt. Capt. Bill Walker,The Story of G.I. Joe,[18],/wiki/The_Story_of_G.I._Joe,False,,
49,1945 (18th),J. Carrol Naish,Charley Martin,A Medal for Benny,[18],/wiki/A_Medal_for_Benny,False,,
50,1946 (19th),Harold Russell ‡,Homer Parrish,The Best Years of Our Lives,[19],/wiki/The_Best_Years_of_Our_Lives,True,,
51,1946 (19th),Charles Coburn,Alexander Gow,The Green Years,[19],/wiki/The_Green_Years_(film),False,,
52,1946 (19th),William Demarest,Steve Martin,The Jolson Story,[19],/wiki/The_Jolson_Story,False,,
53,1946 (19th),Claude Rains,Alexander Sebastian,Notorious,[19],/wiki/Notorious_(1946_film),False,,
54,1946 (19th),Clifton Webb,Elliott Templeton,The Razor's Edge,[19],/wiki/The_Razor%27s_Edge_(1946_film),False,,
55,1947 (20th),Edmund Gwenn ‡,Kris Kringle,Miracle on 34th Street,[20],/wiki/Miracle_on_34th_Street,True,,
56,1947 (20th),Charles Bickford,Joseph Clancy,The Farmer's Daughter,[20],/wiki/The_Farmer%27s_Daughter_(1947_film),False,,
57,1947 (20th),Thomas Gomez,Pancho,Ride the Pink Horse,[20],/wiki/Ride_the_Pink_Horse,False,,
58,1947 (20th),Robert Ryan,Montgomery,Crossfire,[20],/wiki/Crossfire_(film),False,,
59,1947 (20th),Richard Widmark,Tommy Udo,Kiss of Death,[20],/wiki/Kiss_of_Death_(1947_film),False,,
60,1948 (21st),Walter Huston ‡,Howard,The Treasure of the Sierra Madre,[21],/wiki/The_Treasure_of_the_Sierra_Madre_(film),True,,
61,1948 (21st),Charles Bickford,Black McDonald,Johnny Belinda,[21],/wiki/Johnny_Belinda_(1948_film),False,,
62,1948 (21st),José Ferrer,"The Dauphin – Charles VII, later King of France",Joan of Arc,[21],/wiki/Joan_of_Arc_(1948_film),False,,
63,1948 (21st),Oskar Homolka,Uncle Chris Halverson,I Remember Mama,[21],/wiki/I_Remember_Mama_(film),False,,
64,1948 (21st),Cecil Kellaway,Horace (A Leprechaun),The Luck of the Irish,[21],/wiki/The_Luck_of_the_Irish_(1948_film),False,,
65,1949 (22nd),Dean Jagger ‡,Major Harvey Stovall,Twelve O'Clock High,[22],/wiki/Twelve_O%27Clock_High,True,,
66,1949 (22nd),John Ireland,Jack Burden,All the King's Men,[22],/wiki/All_the_King%27s_Men_(1949_film),False,,
67,1949 (22nd),Arthur Kennedy,Connie Kelly,Champion,[22],/wiki/Champion_(1949_film),False,,
68,1949 (22nd),Ralph Richardson,Dr. Austin Sloper,The Heiress,[22],/wiki/The_Heiress,False,,
69,1949 (22nd),James Whitmore,Sgt. Kinnie,Battleground,[22],/wiki/Battleground_(film),False,,
70,1950 (23rd),George Sanders ‡,Addison DeWitt,All About Eve,[23],/wiki/All_About_Eve,True,,
71,1950 (23rd),Jeff Chandler,Cochise,Broken Arrow,[23],/wiki/Broken_Arrow_(1950_film),False,,
72,1950 (23rd),Edmund Gwenn,"""Skipper"" Miller",Mister 880,[23],/wiki/Mister_880,False,,
73,1950 (23rd),Sam Jaffe,Dr. Erwin Riedenschneider,The Asphalt Jungle,[23],/wiki/The_Asphalt_Jungle,False,,
74,1950 (23rd),Erich von Stroheim,Max von Meyerling,Sunset Boulevard,[23],/wiki/Sunset_Boulevard_(film),False,,
75,1951 (24th),Karl Malden ‡,"Harold ""Mitch"" Mitchell",A Streetcar Named Desire,[24],/wiki/A_Streetcar_Named_Desire_(1951_film),True,,
76,1951 (24th),Leo Genn,Petronius,Quo Vadis,[24],/wiki/Quo_Vadis_(1951_film),False,,
77,1951 (24th),Kevin McCarthy,Biff Loman,Death of a Salesman,[24],/wiki/Death_of_a_Salesman_(1951_film),False,,
78,1951 (24th),Peter Ustinov,Nero,Quo Vadis,[24],/wiki/Quo_Vadis_(1951_film),False,,
79,1951 (24th),Gig Young,Boyd Copeland,Come Fill the Cup,[24],/wiki/Come_Fill_the_Cup,False,,
80,1952 (25th),Anthony Quinn ‡,Eufemio Zapata,Viva Zapata!,[25],/wiki/Viva_Zapata!,True,,
81,1952 (25th),Richard Burton,Philip Ashley,My Cousin Rachel,[25],/wiki/My_Cousin_Rachel_(1952_film),False,,
82,1952 (25th),Arthur Hunnicutt,Zeb Calloway Narrator,The Big Sky,[25],/wiki/The_Big_Sky_(film),False,,
83,1952 (25th),Victor McLaglen,"Will ""Red"" Danaher",The Quiet Man,[25],/wiki/The_Quiet_Man,False,,
84,1952 (25th),Jack Palance,Lester Blaine,Sudden Fear,[25],/wiki/Sudden_Fear,False,,
85,1953 (26th),Frank Sinatra ‡,Pvt. Angelo Maggio,From Here to Eternity,[26],/wiki/From_Here_to_Eternity,True,,
86,1953 (26th),Eddie Albert,Irving Radovich,Roman Holiday,[26],/wiki/Roman_Holiday,False,,
87,1953 (26th),Brandon deWilde,Joey Starrett,Shane,[26],/wiki/Shane_(film),False,,
88,1953 (26th),Jack Palance,Jack Wilson,Shane,[26],/wiki/Shane_(film),False,,
89,1953 (26th),Robert Strauss,"Sgt. Stanislas ""Animal"" Kasava",Stalag 17,[26],/wiki/Stalag_17,False,,
90,1954 (27th),Edmond O'Brien ‡,Oscar Muldoon,The Barefoot Contessa,[27],/wiki/The_Barefoot_Contessa,True,,
91,1954 (27th),Lee J. Cobb,Johnny Friendly,On the Waterfront,[27],/wiki/On_the_Waterfront,False,,
92,1954 (27th),Karl Malden,Father Barry,On the Waterfront,[27],/wiki/On_the_Waterfront,False,,
93,1954 (27th),Rod Steiger,"Charley ""The Gent"" Malloy",On the Waterfront,[27],/wiki/On_the_Waterfront,False,,
94,1954 (27th),Tom Tully,Commander DeVriess,The Caine Mutiny,[27],/wiki/The_Caine_Mutiny_(film),False,,
95,1955 (28th),Jack Lemmon ‡,Ensign Frank Thurlowe Pulver,Mister Roberts,[28],/wiki/Mister_Roberts_(1955_film),True,,
96,1955 (28th),Arthur Kennedy,Barney Castle,Trial,[28],/wiki/Trial_(film),False,,
97,1955 (28th),Joe Mantell,Angie,Marty,[28],/wiki/Marty_(film),False,,
98,1955 (28th),Sal Mineo,"John ""Plato"" Crawford",Rebel Without a Cause,[28],/wiki/Rebel_Without_a_Cause,False,,
99,1955 (28th),Arthur O'Connell,Howard Bevans,Picnic,[28],/wiki/Picnic_(1955_film),False,,
100,1956 (29th),Anthony Quinn ‡,Paul Gauguin,Lust for Life,[29],/wiki/Lust_for_Life_(1956_film),True,,
101,1956 (29th),Don Murray,"Beauregard ""Bo"" Decker",Bus Stop,[29],/wiki/Bus_Stop_(1956_film),False,,
102,1956 (29th),Anthony Perkins,Josh Birdwell,Friendly Persuasion,[29],/wiki/Friendly_Persuasion_(1956_film),False,,
103,1956 (29th),Mickey Rooney,Dooley,The Bold and the Brave,[29],/wiki/The_Bold_and_the_Brave,False,,
104,1956 (29th),Robert Stack,Kyle Hadley,Written on the Wind,[29],/wiki/Written_on_the_Wind,False,,
105,1957 (30th),Red Buttons ‡,Airman Joe Kelly,Sayonara,[30],/wiki/Sayonara,True,,
106,1957 (30th),Vittorio De Sica,Major Alessandro Rinaldi,A Farewell to Arms,[30],/wiki/A_Farewell_to_Arms_(1957_film),False,,
107,1957 (30th),Sessue Hayakawa,Colonel Saito,The Bridge on the River Kwai,[30],/wiki/The_Bridge_on_the_River_Kwai,False,,
108,1957 (30th),Arthur Kennedy,Lucas Cross,Peyton Place,[30],/wiki/Peyton_Place_(film),False,,
109,1957 (30th),Russ Tamblyn,Norman Page,Peyton Place,[30],/wiki/Peyton_Place_(film),False,,
110,1958 (31st),Burl Ives ‡,Rufus Hannassey,The Big Country,[31],/wiki/The_Big_Country,True,,
111,1958 (31st),Theodore Bikel,Sheriff Max Muller,The Defiant Ones,[31],/wiki/The_Defiant_Ones,False,,
112,1958 (31st),Lee J. Cobb,Fyodor Karamazov,The Brothers Karamazov,[31],/wiki/The_Brothers_Karamazov_(1958_film),False,,
113,1958 (31st),Arthur Kennedy,Frank Hirsh,Some Came Running,[31],/wiki/Some_Came_Running_(film),False,,
114,1958 (31st),Gig Young,Dr. Hugo Pine,Teacher's Pet,[31],/wiki/Teacher%27s_Pet_(1958_film),False,,
115,1959 (32nd),Hugh Griffith ‡,Sheik Ilderim,Ben-Hur,[32],/wiki/Ben-Hur_(1959_film),True,,
