,Year,Film,Art director(s),FilmLink,Won,Interior decorator(s),Set decorator(s),Production designer(s)
631,2006 (79th) [13],Pan's Labyrinth,Eugenio Caballero,/wiki/Pan%27s_Labyrinth,True,,Pilar Revuelta,
632,2006 (79th) [13],Dreamgirls,John Myhre,/wiki/Dreamgirls_(film),False,,Nancy Haigh,
633,2006 (79th) [13],The Good Shepherd,Jeannine Claudia Oppewall,/wiki/The_Good_Shepherd_(film),False,,Gretchen Rau and Leslie E. Rollins,
634,2006 (79th) [13],Pirates of the Caribbean: Dead Man's Chest,Rick Heinrichs,/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,False,,Cheryl Carasik,
635,2006 (79th) [13],The Prestige,Nathan Crowley,/wiki/The_Prestige_(film),False,,Julie Ochipinti,
636,2007 (80th) [14],,,,False,,,
637,2007 (80th) [14],Sweeney Todd: The Demon Barber of Fleet Street,Dante Ferretti,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),True,,Francesca Lo Schiavo,
638,2007 (80th) [14],American Gangster,Arthur Max,/wiki/American_Gangster_(film),False,,Beth A. Rubino,
639,2007 (80th) [14],Atonement,Sarah Greenwood,/wiki/Atonement_(2007_film),False,,Katie Spencer,
640,2007 (80th) [14],The Golden Compass,Dennis Gassner,/wiki/The_Golden_Compass_(film),False,,Anna Pinnock,
641,2007 (80th) [14],There Will Be Blood,Jack Fisk,/wiki/There_Will_Be_Blood,False,,Jim Erickson,
642,2008 (81st) [15],,,,False,,,
643,2008 (81st) [15],The Curious Case of Benjamin Button,Donald Graham Burt,/wiki/The_Curious_Case_of_Benjamin_Button_(film),True,,Victor J. Zolfo,
644,2008 (81st) [15],Changeling,James J. Murakami,/wiki/Changeling_(film),False,,Gary Fettis,
645,2008 (81st) [15],The Dark Knight,Nathan Crowley,/wiki/The_Dark_Knight,False,,Peter Lando,
646,2008 (81st) [15],The Duchess,Michael Carlin,/wiki/The_Duchess_(film),False,,Rebecca Alleway,
647,2008 (81st) [15],Revolutionary Road,Kristi Zea,/wiki/Revolutionary_Road_(film),False,,Debra Schutt,
648,2009 (82nd) [16],,,,False,,,
649,2009 (82nd) [16],Avatar,Rick Carter and Robert Stromberg,/wiki/Avatar_(2009_film),True,,Kim Sinclair,
650,2009 (82nd) [16],The Imaginarium of Doctor Parnassus,Dave Warren and Anastasia Masaro,/wiki/The_Imaginarium_of_Doctor_Parnassus,False,,Caroline Smith,
651,2009 (82nd) [16],Nine,John Myhre,/wiki/Nine_(2009_live-action_film),False,,Gordon Sim,
652,2009 (82nd) [16],Sherlock Holmes,Sarah Greenwood,/wiki/Sherlock_Holmes_(2009_film),False,,Katie Spencer,
653,2009 (82nd) [16],The Young Victoria,Patrice Vermette,/wiki/The_Young_Victoria,False,,Maggie Gray,
654,2010 (83rd) [17],,,,False,,,
655,2010 (83rd) [17],Alice in Wonderland,,/wiki/Alice_in_Wonderland_(2010_film),True,,Karen O'Hara,Robert Stromberg
656,2010 (83rd) [17],Harry Potter and the Deathly Hallows – Part 1,,/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_1,False,,Stephenie McMillan,Stuart Craig
657,2010 (83rd) [17],Inception,,/wiki/Inception,False,,Larry Dias and Doug Mowat,Guy Hendrix Dyas
658,2010 (83rd) [17],The King's Speech,,/wiki/The_King%27s_Speech,False,,Judy Farr,Eve Stewart
659,2010 (83rd) [17],True Grit,,/wiki/True_Grit_(2010_film),False,,Nancy Haigh,Jess Gonchor
660,2011 (84th) [18],,,,False,,,
661,2011 (84th) [18],Hugo,,/wiki/Hugo_(film),True,,Francesca Lo Schiavo,Dante Ferretti
662,2011 (84th) [18],The Artist,,/wiki/The_Artist_(film),False,,Robert Gould,Laurence Bennett
663,2011 (84th) [18],Harry Potter and the Deathly Hallows – Part 2,,/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,False,,Stephenie McMillan,Stuart Craig
664,2011 (84th) [18],Midnight in Paris,,/wiki/Midnight_in_Paris,False,,Hélène Dubreuil,Anne Seibel
665,2011 (84th) [18],War Horse,,/wiki/War_Horse_(film),False,,Lee Sandales,Rick Carter
666,2012 (85th) [19],,,,False,,,
667,2012 (85th) [19],Lincoln,,/wiki/Lincoln_(film),True,,Jim Erickson,Rick Carter
668,2012 (85th) [19],Anna Karenina,,/wiki/Anna_Karenina_(2012_film),False,,Katie Spencer,Sarah Greenwood
669,2012 (85th) [19],The Hobbit: An Unexpected Journey,,/wiki/The_Hobbit:_An_Unexpected_Journey,False,,Ra Vincent and Simon Bright,Dan Hennah
670,2012 (85th) [19],Les Misérables,,/wiki/Les_Mis%C3%A9rables_(2012_film),False,,Anna Lynch-Robinson,Eve Stewart
671,2012 (85th) [19],Life of Pi,,/wiki/Life_of_Pi_(film),False,,Anna Pinnock,David Gropman
672,2013 (86th) [20],,,,False,,,
673,2013 (86th) [20],The Great Gatsby,,/wiki/The_Great_Gatsby_(2013_film),True,,Beverley Dunn,Catherine Martin
674,2013 (86th) [20],12 Years a Slave,,/wiki/12_Years_a_Slave_(film),False,,Alice Baker,Adam Stockhausen
675,2013 (86th) [20],American Hustle,,/wiki/American_Hustle,False,,Heather Loeffler,Judy Becker
676,2013 (86th) [20],Gravity,,/wiki/Gravity_(2013_film),False,,Rosie Goodwin and Joanne Woollard,Andy Nicholson
677,2013 (86th) [20],Her,,/wiki/Her_(film),False,,Gene Serdena,K. K. Barrett
678,2014 (87th) [21],,,,False,,,
679,2014 (87th) [21],The Grand Budapest Hotel,,/wiki/The_Grand_Budapest_Hotel,True,,Anna Pinnock,Adam Stockhausen
680,2014 (87th) [21],The Imitation Game,,/wiki/The_Imitation_Game,False,,Tatiana Macdonald,Maria Djurkovic
681,2014 (87th) [21],Interstellar,,/wiki/Interstellar_(film),False,,Gary Fettis,Nathan Crowley
682,2014 (87th) [21],Into the Woods,,/wiki/Into_the_Woods_(film),False,,Anna Pinnock,Dennis Gassner
683,2014 (87th) [21],Mr. Turner,,/wiki/Mr._Turner,False,,Charlotte Watts,Suzie Davies
684,2015 (88th) [22],,,,False,,,
685,2015 (88th) [22],Mad Max: Fury Road,,/wiki/Mad_Max:_Fury_Road,True,,Lisa Thompson,Colin Gibson
686,2015 (88th) [22],Bridge of Spies,,/wiki/Bridge_of_Spies_(film),False,,Rena DeAngelo and Bernhard Henrich,Adam Stockhausen
687,2015 (88th) [22],The Danish Girl,,/wiki/The_Danish_Girl_(film),False,,Michael Standish,Eve Stewart
688,2015 (88th) [22],The Martian,,/wiki/The_Martian_(film),False,,Celia Bobak,Arthur Max
689,2015 (88th) [22],The Revenant,,/wiki/The_Revenant_(2015_film),False,,Hamish Purdy,Jack Fisk
690,2016 (89th) [23],,,,False,,,
691,2016 (89th) [23],La La Land,,/wiki/La_La_Land,True,,Sandy Reynolds-Wasco,David Wasco
692,2016 (89th) [23],Arrival,,/wiki/Arrival_(film),False,,Paul Hotte,Patrice Vermette
693,2016 (89th) [23],Fantastic Beasts and Where to Find Them,,/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film),False,,Anna Pinnock,Stuart Craig
694,2016 (89th) [23],"Hail, Caesar!",,"/wiki/Hail,_Caesar!",False,,Nancy Haigh,Jess Gonchor
695,2016 (89th) [23],Passengers,,/wiki/Passengers_(2016_film),False,,Gene Serdena,Guy Hendrix Dyas
696,2017 (90th) [24],,,,False,,,
697,2017 (90th) [24],The Shape of Water,,/wiki/The_Shape_of_Water,True,,Shane Vieau and Jeff Melvin,Paul Denham Austerberry
698,2017 (90th) [24],Beauty and the Beast,,/wiki/Beauty_and_the_Beast_(2017_film),False,,Katie Spencer,Sarah Greenwood
699,2017 (90th) [24],Blade Runner 2049,,/wiki/Blade_Runner_2049,False,,Alessandra Querzola,Dennis Gassner
700,2017 (90th) [24],Darkest Hour,,/wiki/Darkest_Hour_(film),False,,Katie Spencer,Sarah Greenwood
701,2017 (90th) [24],Dunkirk,,/wiki/Dunkirk_(2017_film),False,,Gary Fettis,Nathan Crowley
702,2018 (91st) [25],,,,False,,,
703,2018 (91st) [25],Black Panther,,/wiki/Black_Panther_(film),True,,Jay Hart,Hannah Beachler
704,2018 (91st) [25],The Favourite,,/wiki/The_Favourite,False,,Alice Felton,Fiona Crombie
705,2018 (91st) [25],First Man,,/wiki/First_Man_(film),False,,Kathy Lucas,Nathan Crowley
706,2018 (91st) [25],Mary Poppins Returns,,/wiki/Mary_Poppins_Returns,False,,Gordon Sim,John Myhre
707,2018 (91st) [25],Roma,,/wiki/Roma_(2018_film),False,,Bárbara Enrı́quez,Eugenio Caballero
708,2019 (92nd) [26],,,,False,,,
709,2019 (92nd) [26],Once Upon a Time in Hollywood,,/wiki/Once_Upon_a_Time_in_Hollywood,True,,Nancy Haigh,Barbara Ling
710,2019 (92nd) [26],The Irishman,,/wiki/The_Irishman,False,,Regina Graves,Bob Shaw
711,2019 (92nd) [26],Jojo Rabbit,,/wiki/Jojo_Rabbit,False,,Nora Sopková,Ra Vincent
712,2019 (92nd) [26],1917,,/wiki/1917_(2019_film),False,,Lee Sandales,Dennis Gassner
713,2019 (92nd) [26],Parasite,,/wiki/Parasite_(2019_film),False,,Cho Won-woo,Lee Ha-jun
714,2020 (93rd) [27],,,,False,,,
715,2020 (93rd) [27],Mank,,/wiki/Mank,True,,Jan Pascale,Donald Graham Burt
716,2020 (93rd) [27],The Father,,/wiki/The_Father_(2020_film),False,,Cathy Featherstone,Peter Francis
717,2020 (93rd) [27],Ma Rainey's Black Bottom,,/wiki/Ma_Rainey%27s_Black_Bottom_(film),False,,Karen O'Hara and Diana Stoughton,Mark Ricker
718,2020 (93rd) [27],News of the World,,/wiki/News_of_the_World_(film),False,,Elizabeth Keenan,David Crank
719,2020 (93rd) [27],Tenet,,/wiki/Tenet_(film),False,,Kathy Lucas,Nathan Crowley
720,2021 (94th) [28],,,,False,,,
721,2021 (94th) [28],Dune,,/wiki/Dune_(2021_film),True,,Zsuzsanna Sipos,Patrice Vermette
722,2021 (94th) [28],Nightmare Alley,,/wiki/Nightmare_Alley_(2021_film),False,,Shane Vieau,Tamara Deverell
723,2021 (94th) [28],The Power of the Dog,,/wiki/The_Power_of_the_Dog_(film),False,,Amber Richards,Grant Major
724,2021 (94th) [28],The Tragedy of Macbeth,,/wiki/The_Tragedy_of_Macbeth_(2021_film),False,,Nancy Haigh,Stefan Dechant
725,2021 (94th) [28],West Side Story,,/wiki/West_Side_Story_(2021_film),False,,Rena DeAngelo,Adam Stockhausen
726,2022 (95th) [29],,,,False,,,
727,2022 (95th) [29],All Quiet on the Western Front,,/wiki/All_Quiet_on_the_Western_Front_(2022_film),True,,Ernestine Hipper,Christian M. Goldbeck
728,2022 (95th) [29],Avatar: The Way of Water,,/wiki/Avatar:_The_Way_of_Water,False,,Vanessa Cole,Dylan Cole and Ben Procter
729,2022 (95th) [29],Babylon,,/wiki/Babylon_(2022_film),False,,Anthony Carlino,Florencia Martin
730,2022 (95th) [29],Elvis,,/wiki/Elvis_(2022_film),False,,Bev Dunn,Catherine Martin and Karen Murphy
731,2022 (95th) [29],The Fabelmans,,/wiki/The_Fabelmans,False,,Karen O'Hara,Rick Carter
732,2023 (96th) [30],,,,False,,,
733,2023 (96th) [30],Barbie,,/wiki/Barbie_(film),False,,Katie Spencer,Sarah Greenwood
734,2023 (96th) [30],Killers of the Flower Moon,,/wiki/Killers_of_the_Flower_Moon_(film),False,,Adam Willis,Jack Fisk
735,2023 (96th) [30],Napoleon,,/wiki/Napoleon_(2023_film),False,,Elli Griff,Arthur Max
736,2023 (96th) [30],Oppenheimer,,/wiki/Oppenheimer_(film),False,,Claire Kaufman,Ruth De Jong
737,2023 (96th) [30],Poor Things,,/wiki/Poor_Things_(film),False,,Zsuzsa Mihalek,James Price and Shona Heath
