,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
54,1937 (10th),In Old Chicago,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/In_Old_Chicago,False,
55,1937 (10th),The Life of Emile Zola,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/The_Life_of_Emile_Zola,False,
56,1937 (10th),Lost Horizon,"Columbia Studio Sound Department, John P. Livadary",/wiki/Lost_Horizon_(1937_film),False,
57,1937 (10th),Maytime,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Maytime_(1937_film),False,
58,1937 (10th),One Hundred Men and a Girl,"Universal Studio Sound Department, Homer G. Tasker",/wiki/One_Hundred_Men_and_a_Girl,False,
59,1937 (10th),Topper,"Hal Roach Studio Sound Department, Elmer A. Raguse",/wiki/Topper_(film),False,
60,1937 (10th),Wells Fargo,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/Wells_Fargo_(film),False,
61,1938 (11th),,,,False,
62,1938 (11th),The Cowboy and the Lady,"United Artists Studio Sound Department, Thomas T. Moulton",/wiki/The_Cowboy_and_the_Lady_(1938_film),True,
63,1938 (11th),Army Girl,"Republic Studio Sound Department, Charles L. Lootens",/wiki/Army_Girl,False,
64,1938 (11th),Four Daughters,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Four_Daughters,False,
65,1938 (11th),If I Were King,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/If_I_Were_King,False,
66,1938 (11th),Merrily We Live,"Hal Roach Studio Sound Department, Elmer A. Raguse",/wiki/Merrily_We_Live,False,
67,1938 (11th),Suez,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/Suez_(film),False,
68,1938 (11th),Sweethearts,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Sweethearts_(1938_film),False,
69,1938 (11th),That Certain Age,"Universal Studio Sound Department, Bernard B. Brown",/wiki/That_Certain_Age,False,
70,1938 (11th),Vivacious Lady,"RKO Radio Studio Sound Department, John Aalberg",/wiki/Vivacious_Lady,False,
71,1938 (11th),You Can't Take It with You,"Columbia Studio Sound Department, John P. Livadary",/wiki/You_Can%27t_Take_It_with_You_(film),False,
72,1939 (12th),,,,False,
73,1939 (12th),When Tomorrow Comes,"Universal Studio Sound Department, Bernard B. Brown",/wiki/When_Tomorrow_Comes_(film),True,
74,1939 (12th),Balalaika,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Balalaika_(film),False,
75,1939 (12th),Gone with the Wind,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/Gone_with_the_Wind_(film),False,
76,1939 (12th),"Goodbye, Mr. Chips","Denham Studio Sound Department, A. W. Watkins","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,
77,1939 (12th),The Great Victor Herbert,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/The_Great_Victor_Herbert,False,
78,1939 (12th),The Hunchback of Notre Dame,"RKO Radio Studio Sound Department, John Aalberg",/wiki/The_Hunchback_of_Notre_Dame_(1939_film),False,
79,1939 (12th),Man of Conquest,"Republic Studio Sound Department, Charles L. Lootens",/wiki/Man_of_Conquest,False,
80,1939 (12th),Mr. Smith Goes to Washington,"Columbia Studio Sound Department, John P. Livadary",/wiki/Mr._Smith_Goes_to_Washington,False,
81,1939 (12th),Of Mice and Men,"Hal Roach Studio Sound Department, Elmer A. Raguse",/wiki/Of_Mice_and_Men_(1939_film),False,
82,1939 (12th),The Private Lives of Elizabeth and Essex,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/The_Private_Lives_of_Elizabeth_and_Essex,False,
83,1939 (12th),The Rains Came,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/The_Rains_Came,False,
84,1940 (13th),,,,False,
85,1940 (13th),Strike Up the Band,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Strike_Up_the_Band_(film),True,
86,1940 (13th),Behind the News,"Republic Studio Sound Department, Charles L. Lootens",/wiki/Behind_the_News_(film),False,
87,1940 (13th),Captain Caution,"Hal Roach Studio Sound Department, Elmer A. Raguse",/wiki/Captain_Caution,False,
88,1940 (13th),The Grapes of Wrath,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/The_Grapes_of_Wrath_(film),False,
89,1940 (13th),The Howards of Virginia,"General Service Sound Department, Jack Whitney",/wiki/The_Howards_of_Virginia,False,
90,1940 (13th),Kitty Foyle,"RKO Radio Studio Sound Department, John Aalberg",/wiki/Kitty_Foyle_(film),False,
91,1940 (13th),North West Mounted Police,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/North_West_Mounted_Police_(film),False,
92,1940 (13th),Our Town,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/Our_Town_(1940_film),False,
93,1940 (13th),The Sea Hawk,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/The_Sea_Hawk_(1940_film),False,
94,1940 (13th),Spring Parade,"Universal Studio Sound Department, Bernard B. Brown",/wiki/Spring_Parade,False,
95,1940 (13th),Too Many Husbands,"Columbia Studio Sound Department, John P. Livadary",/wiki/Too_Many_Husbands,False,
96,1941 (14th),,,,False,
97,1941 (14th),That Hamilton Woman,"General Service Sound Department, Jack Whitney",/wiki/That_Hamilton_Woman,True,
98,1941 (14th),Appointment for Love,"Universal Studio Sound Department, Bernard B. Brown",/wiki/Appointment_for_Love,False,
99,1941 (14th),Ball of Fire,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton",/wiki/Ball_of_Fire,False,
100,1941 (14th),The Chocolate Soldier,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/The_Chocolate_Soldier_(film),False,
101,1941 (14th),Citizen Kane,"RKO Radio Studio Sound Department, John Aalberg",/wiki/Citizen_Kane,False,
102,1941 (14th),The Devil Pays Off,"Republic Studio Sound Department, Charles L. Lootens",/wiki/The_Devil_Pays_Off,False,
103,1941 (14th),How Green Was My Valley,"20th Century-Fox Studio Sound Department, Edmund H. Hansen",/wiki/How_Green_Was_My_Valley_(film),False,
104,1941 (14th),The Men in Her Life,"Columbia Studio Sound Department, John P. Livadary",/wiki/The_Men_in_Her_Life,False,
105,1941 (14th),Sergeant York,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Sergeant_York_(film),False,
106,1941 (14th),Skylark,"Paramount Studio Sound Department, Loren L. Ryder",/wiki/Skylark_(1941_film),False,
107,1941 (14th),Topper Returns,"Hal Roach Studio Sound Department, Elmer A. Raguse",/wiki/Topper_Returns,False,
108,1942 (15th),,,,False,
109,1942 (15th),Yankee Doodle Dandy,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Yankee_Doodle_Dandy,True,
110,1942 (15th),Arabian Nights,"Universal Studio Sound Department, Bernard B. Brown",/wiki/Arabian_Nights_(1942_film),False,
111,1942 (15th),Bambi,"Walt Disney Studio Sound Department, Sam Slyfield",/wiki/Bambi,False,
