,Year,Film,Costume designer(s),FilmLink,Won
498,2013 (86th),The Invisible Woman,Michael O'Connor,/wiki/The_Invisible_Woman_(2013_film),False
499,2014 (87th) [78],,,,False
500,2014 (87th) [78],The Grand Budapest Hotel,Milena Canonero,/wiki/The_Grand_Budapest_Hotel,True
501,2014 (87th) [78],Inherent Vice,Mark Bridges,/wiki/Inherent_Vice_(film),False
502,2014 (87th) [78],Into the Woods,Colleen Atwood,/wiki/Into_the_Woods_(film),False
503,2014 (87th) [78],Maleficent,Anna B. Sheppard[note 3][79],/wiki/Maleficent_(film),False
504,2014 (87th) [78],Mr. Turner,Jacqueline Durran,/wiki/Mr._Turner,False
505,2015 (88th),,,,False
506,2015 (88th),Mad Max: Fury Road,Jenny Beavan,/wiki/Mad_Max:_Fury_Road,True
507,2015 (88th),Carol,Sandy Powell,/wiki/Carol_(film),False
508,2015 (88th),Cinderella,Sandy Powell,/wiki/Cinderella_(2015_American_film),False
509,2015 (88th),The Danish Girl,Paco Delgado,/wiki/The_Danish_Girl_(film),False
510,2015 (88th),The Revenant,Jacqueline West,/wiki/The_Revenant_(2015_film),False
511,2016 (89th) [80],,,,False
512,2016 (89th) [80],Fantastic Beasts and Where to Find Them,Colleen Atwood,/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film),True
513,2016 (89th) [80],Allied,Joanna Johnston,/wiki/Allied_(film),False
514,2016 (89th) [80],Florence Foster Jenkins,Consolata Boyle,/wiki/Florence_Foster_Jenkins_(film),False
515,2016 (89th) [80],Jackie,Madeline Fontaine,/wiki/Jackie_(2016_film),False
516,2016 (89th) [80],La La Land,Mary Zophres,/wiki/La_La_Land,False
517,2017 (90th) [81],,,,False
518,2017 (90th) [81],Phantom Thread,Mark Bridges,/wiki/Phantom_Thread,True
519,2017 (90th) [81],Beauty and the Beast,Jacqueline Durran,/wiki/Beauty_and_the_Beast_(2017_film),False
520,2017 (90th) [81],Darkest Hour,Jacqueline Durran,/wiki/Darkest_Hour_(film),False
521,2017 (90th) [81],The Shape of Water,Luis Sequeira,/wiki/The_Shape_of_Water,False
522,2017 (90th) [81],Victoria & Abdul,Consolata Boyle,/wiki/Victoria_%26_Abdul,False
523,2018 (91st) [82],,,,False
524,2018 (91st) [82],Black Panther,Ruth E. Carter,/wiki/Black_Panther_(film),True
525,2018 (91st) [82],The Ballad of Buster Scruggs,Mary Zophres,/wiki/The_Ballad_of_Buster_Scruggs,False
526,2018 (91st) [82],The Favourite,Sandy Powell,/wiki/The_Favourite,False
527,2018 (91st) [82],Mary Poppins Returns,Sandy Powell,/wiki/Mary_Poppins_Returns,False
528,2018 (91st) [82],Mary Queen of Scots,Alexandra Byrne,/wiki/Mary_Queen_of_Scots_(2018_film),False
529,2019 (92nd) [83],,,,False
530,2019 (92nd) [83],Little Women,Jacqueline Durran,/wiki/Little_Women_(2019_film),True
531,2019 (92nd) [83],The Irishman,Sandy Powell and Christopher Peterson,/wiki/The_Irishman,False
532,2019 (92nd) [83],Jojo Rabbit,Mayes C. Rubeo,/wiki/Jojo_Rabbit,False
533,2019 (92nd) [83],Joker,Mark Bridges,/wiki/Joker_(2019_film),False
534,2019 (92nd) [83],Once Upon a Time in Hollywood,Arianne Phillips,/wiki/Once_Upon_a_Time_in_Hollywood,False
535,2020/21 (93rd) [84],,,,False
536,2020/21 (93rd) [84],Ma Rainey's Black Bottom,Ann Roth,/wiki/Ma_Rainey%27s_Black_Bottom_(film),True
537,2020/21 (93rd) [84],Emma,Alexandra Byrne,/wiki/Emma_(2020_film),False
538,2020/21 (93rd) [84],Mank,Trish Summerville,/wiki/Mank,False
539,2020/21 (93rd) [84],Mulan,Bina Daigeler,/wiki/Mulan_(2020_film),False
540,2020/21 (93rd) [84],Pinocchio,Massimo Cantini Parrini,/wiki/Pinocchio_(2019_film),False
541,2021 (94th) [85],,,,False
542,2021 (94th) [85],Cruella,Jenny Beavan,/wiki/Cruella_(film),True
543,2021 (94th) [85],Cyrano,Massimo Cantini Parrini and Jacqueline Durran,/wiki/Cyrano_(film),False
544,2021 (94th) [85],Dune,Jacqueline West and Bob Morgan,/wiki/Dune_(2021_film),False
545,2021 (94th) [85],Nightmare Alley,Luis Sequeira,/wiki/Nightmare_Alley_(2021_film),False
546,2021 (94th) [85],West Side Story,Paul Tazewell,/wiki/West_Side_Story_(2021_film),False
547,2022 (95th) [86],,,,False
548,2022 (95th) [86],Black Panther: Wakanda Forever,Ruth E. Carter,/wiki/Black_Panther:_Wakanda_Forever,True
549,2022 (95th) [86],Babylon,Mary Zophres,/wiki/Babylon_(2022_film),False
550,2022 (95th) [86],Elvis,Catherine Martin,/wiki/Elvis_(2022_film),False
551,2022 (95th) [86],Everything Everywhere All at Once,Shirley Kurata,/wiki/Everything_Everywhere_All_at_Once,False
552,2022 (95th) [86],Mrs. Harris Goes to Paris,Jenny Beavan,/wiki/Mrs._Harris_Goes_to_Paris,False
553,2023 (96th) [86],Barbie,Jacqueline Durran,/wiki/Barbie_(movie),False
554,2023 (96th) [86],Killers of the Flower Moon,Jacqueline West,/wiki/Killers_of_the_Flower_Moon_(film),False
555,2023 (96th) [86],Napoleon,Janty Yates and Dave Crossman,/wiki/Napoleon_(2023_film),False
556,2023 (96th) [86],Oppenheimer,Ellen Mirojnick,/wiki/Oppenheimer_(film),False
557,2023 (96th) [86],Poor Things,Holly Waddington,/wiki/Poor_Things_(film),False
