,Year,Film,Nominees,FilmLink,Won
84,1940 (13th),London Can Take It!,Warner Bros.,/wiki/London_Can_Take_It!,False
85,1940 (13th),More About Nostradamus,Metro-Goldwyn-Mayer,/wiki/More_About_Nostradamus,False
86,1940 (13th),Siege,RKO Radio,/wiki/Siege_(1940_film),False
87,1940 (13th),Two-Reel,Two-Reel,,False
88,1940 (13th),"Teddy, the Rough Rider",Warner Bros.,"/wiki/Teddy,_the_Rough_Rider",True
89,1940 (13th),Eyes of the Navy,Metro-Goldwyn-Mayer,/wiki/Eyes_of_the_Navy,False
90,1940 (13th),Service with the Colors,Warner Bros.,/wiki/Service_with_the_Colors,False
91,1941 (14th),,,,False
92,1941 (14th),One-Reel,One-Reel,,False
93,1941 (14th),Of Pups and Puzzles,Metro-Goldwyn-Mayer,/wiki/Of_Pups_and_Puzzles,True
94,1941 (14th),Army Champions,Pete Smith,/wiki/Army_Champions,False
95,1941 (14th),Beauty and the Beach,Paramount,/wiki/Beauty_and_the_Beach_(film),False
96,1941 (14th),Down on the Farm,Paramount,/wiki/Down_on_the_Farm_(1941_film),False
97,1941 (14th),Forty Boys and a Song,Warner Bros.,/wiki/Forty_Boys_and_a_Song,False
98,1941 (14th),Kings of the Turf,Warner Bros.,/wiki/Kings_of_the_Turf,False
99,1941 (14th),Sagebrush and Silver,20th Century-Fox,/wiki/Sagebrush_and_Silver,False
100,1941 (14th),Two-Reel,Two-Reel,,False
101,1941 (14th),Main Street on the March!,Metro-Goldwyn-Mayer,/wiki/Main_Street_on_the_March!,True
102,1941 (14th),Alive in the Deep,"Woodward Productions, Inc.",/wiki/Alive_in_the_Deep,False
103,1941 (14th),Forbidden Passage,Metro-Goldwyn-Mayer,/wiki/Forbidden_Passage,False
104,1941 (14th),The Gay Parisian,Warner Bros.,/wiki/The_Gay_Parisian,False
105,1941 (14th),The Tanks Are Coming,United States Army,/wiki/The_Tanks_Are_Coming_(1941_film),False
106,1942 (15th),,,,False
107,1942 (15th),One-Reel,One-Reel,,False
108,1942 (15th),Speaking of Animals and Their Families,Paramount,/wiki/Speaking_of_Animals_and_Their_Families,True
109,1942 (15th),Desert Wonderland,20th Century-Fox,/wiki/Desert_Wonderland,False
110,1942 (15th),Marines in the Making,Pete Smith,/wiki/Marines_in_the_Making,False
111,1942 (15th),United States Marine Band,Warner Bros.,/wiki/United_States_Marine_Band_(film),False
112,1942 (15th),Two-Reel,Two-Reel,,False
113,1942 (15th),Beyond the Line of Duty,Warner Bros.,/wiki/Beyond_the_Line_of_Duty,True
114,1942 (15th),Don't Talk,Metro-Goldwyn-Mayer,/wiki/Don%27t_Talk_(film),False
115,1942 (15th),Private Smith of the U.S.A.,RKO Radio,/wiki/Private_Smith_of_the_U.S.A.,False
116,1943 (16th),,,,False
117,1943 (16th),One-Reel,One-Reel,,False
118,1943 (16th),Amphibious Fighters,Grantland Rice,/wiki/Amphibious_Fighters,True
119,1943 (16th),Cavalcade of Dance with Veloz and Yolanda,Gordon Hollingshead,/wiki/Cavalcade_of_Dance,False
120,1943 (16th),Champions Carry On,Edmund Reek,/wiki/Champions_Carry_On,False
121,1943 (16th),Hollywood in Uniform,Ralph Staub,/wiki/Hollywood_in_Uniform,False
122,1943 (16th),Seeing Hands,Pete Smith,/wiki/Seeing_Hands,False
123,1943 (16th),Two-Reel,Two-Reel,,False
124,1943 (16th),Heavenly Music,Jerry Bresler and Sam Coslow,/wiki/Heavenly_Music,True
125,1943 (16th),Letter to a Hero,Frederic Ullman Jr.,/wiki/Letter_to_a_Hero,False
126,1943 (16th),Mardi Gras,Walter MacEwen,/wiki/Mardi_Gras_(1943_film),False
127,1943 (16th),Women at War,Gordon Hollingshead,/wiki/Women_at_War,False
128,1944 (17th),,,,False
129,1944 (17th),One-Reel,One-Reel,,False
130,1944 (17th),Who's Who in Animal Land,Jerry Fairbanks,/wiki/Who%27s_Who_in_Animal_Land,True
131,1944 (17th),Blue Grass Gentlemen,Edmund Reek,,False
132,1944 (17th),Jammin' the Blues,Gordon Hollingshead,/wiki/Jammin%27_the_Blues,False
133,1944 (17th),Movie Pests,Pete Smith,,False
134,1944 (17th),Screen Snapshots' 50th Anniversary of Motion Pictures,Ralph Staub,/wiki/Screen_Snapshots,False
135,1944 (17th),Two-Reel,Two-Reel,,False
136,1944 (17th),I Won't Play,Gordon Hollingshead,/wiki/I_Won%27t_Play,True
137,1944 (17th),Bombalera,Louis Harris,,False
138,1944 (17th),Main Street Today,Jerry Bresler,,False
139,1945 (18th),,,,False
140,1945 (18th),One-Reel,One-Reel,,False
141,1945 (18th),Stairway to Light,Herbert Moulton and Jerry Bresler,/wiki/Stairway_to_Light,True
142,1945 (18th),Along the Rainbow Trail,Edmund Reek,,False
143,1945 (18th),Screen Snapshots' 25th Anniversary,Ralph Staub,/wiki/Screen_Snapshots,False
144,1945 (18th),Story of a Dog,Gordon Hollingshead,,False
145,1945 (18th),White Rhapsody,Grantland Rice,,False
146,1945 (18th),Your National Gallery,Joseph O'Brien and Thomas Mead,,False
147,1945 (18th),Two-Reel,Two-Reel,,False
148,1945 (18th),Star in the Night,Gordon Hollingshead,/wiki/Star_in_the_Night,True
149,1945 (18th),A Gun in His Hand,Chester Franklin and Jerry Bresler,,False
150,1945 (18th),The Jury Goes Round 'N' Round,Jules White,,False
151,1945 (18th),The Little Witch,George Templeton,,False
152,1946 (19th),,,,False
153,1946 (19th),One-Reel,One-Reel,,False
154,1946 (19th),Facing Your Danger,Gordon Hollingshead,/wiki/Facing_Your_Danger,True
155,1946 (19th),Dive-Hi Champs,Jack Eaton,,False
156,1946 (19th),Golden Horses,Edmund Reek,,False
