,Year of Film Release,Film,Film Studio,FilmLink,Won,Film Studio/Producer(s),Producer(s)
57,1935 (8th) [d],Alice Adams,RKO Radio,/wiki/Alice_Adams_(1935_film),False,,
58,1935 (8th) [d],Broadway Melody of 1936,Metro-Goldwyn-Mayer,/wiki/Broadway_Melody_of_1936,False,,
59,1935 (8th) [d],Captain Blood,Cosmopolitan,/wiki/Captain_Blood_(1935_film),False,,
60,1935 (8th) [d],David Copperfield,Metro-Goldwyn-Mayer,/wiki/David_Copperfield_(1935_film),False,,
61,1935 (8th) [d],The Informer,RKO Radio,/wiki/The_Informer_(1935_film),False,,
62,1935 (8th) [d],The Lives of a Bengal Lancer,Paramount,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,,
63,1935 (8th) [d],A Midsummer Night's Dream,Warner Bros.,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,,
64,1935 (8th) [d],Les Misérables,20th Century,/wiki/Les_Mis%C3%A9rables_(1935_film),False,,
65,1935 (8th) [d],Naughty Marietta,Metro-Goldwyn-Mayer,/wiki/Naughty_Marietta_(film),False,,
66,1935 (8th) [d],Ruggles of Red Gap,Paramount,/wiki/Ruggles_of_Red_Gap,False,,
67,1935 (8th) [d],Top Hat,RKO Radio,/wiki/Top_Hat,False,,
68,1936 (9th),,,,False,,
69,1936 (9th),The Great Ziegfeld,"Metro-Goldwyn-Mayer (Hunt Stromberg, producer)",/wiki/The_Great_Ziegfeld,True,,
70,1936 (9th),Anthony Adverse,Warner Bros.,/wiki/Anthony_Adverse,False,,
71,1936 (9th),Dodsworth,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",/wiki/Dodsworth_(film),False,,
72,1936 (9th),Libeled Lady,Metro-Goldwyn-Mayer,/wiki/Libeled_Lady,False,,
73,1936 (9th),Mr. Deeds Goes to Town,Columbia,/wiki/Mr._Deeds_Goes_to_Town,False,,
74,1936 (9th),Romeo and Juliet,Metro-Goldwyn-Mayer,/wiki/Romeo_and_Juliet_(1936_film),False,,
75,1936 (9th),San Francisco,Metro-Goldwyn-Mayer,/wiki/San_Francisco_(1936_film),False,,
76,1936 (9th),The Story of Louis Pasteur,Cosmopolitan,/wiki/The_Story_of_Louis_Pasteur,False,,
77,1936 (9th),A Tale of Two Cities,Metro-Goldwyn-Mayer,/wiki/A_Tale_of_Two_Cities_(1935_film),False,,
78,1936 (9th),Three Smart Girls,Universal,/wiki/Three_Smart_Girls,False,,
79,1937 (10th),,,,False,,
80,1937 (10th),The Life of Emile Zola,"Warner Bros. (Henry Blanke, producer)",/wiki/The_Life_of_Emile_Zola,True,,
81,1937 (10th),The Awful Truth,Columbia,/wiki/The_Awful_Truth,False,,
82,1937 (10th),Captains Courageous,Metro-Goldwyn-Mayer,/wiki/Captains_Courageous_(1937_film),False,,
83,1937 (10th),Dead End,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",/wiki/Dead_End_(1937_film),False,,
84,1937 (10th),The Good Earth,Metro-Goldwyn-Mayer,/wiki/The_Good_Earth_(film),False,,
85,1937 (10th),In Old Chicago,20th Century-Fox,/wiki/In_Old_Chicago,False,,
86,1937 (10th),Lost Horizon,Columbia,/wiki/Lost_Horizon_(1937_film),False,,
87,1937 (10th),One Hundred Men and a Girl,Universal,/wiki/One_Hundred_Men_and_a_Girl,False,,
88,1937 (10th),Stage Door,RKO Radio,/wiki/Stage_Door,False,,
89,1937 (10th),A Star Is Born,Selznick International Pictures,/wiki/A_Star_Is_Born_(1937_film),False,,
90,1938 (11th),,,,False,,
91,1938 (11th),You Can't Take It with You,"Columbia (Frank Capra, producer)",/wiki/You_Can%27t_Take_It_with_You_(film),True,,
92,1938 (11th),The Adventures of Robin Hood,Warner Bros.-First National,/wiki/The_Adventures_of_Robin_Hood,False,,
93,1938 (11th),Alexander's Ragtime Band,20th Century-Fox,/wiki/Alexander%27s_Ragtime_Band_(film),False,,
94,1938 (11th),Boys Town,Metro-Goldwyn-Mayer,/wiki/Boys_Town_(film),False,,
95,1938 (11th),The Citadel,Metro-Goldwyn-Mayer,/wiki/The_Citadel_(1938_film),False,,
96,1938 (11th),Four Daughters,Warner Bros.-First National,/wiki/Four_Daughters,False,,
97,1938 (11th),Grand Illusion,Réalisation d'art Cinématographique,/wiki/La_Grande_Illusion,False,,
98,1938 (11th),Jezebel,Warner Bros.,/wiki/Jezebel_(1938_film),False,,
99,1938 (11th),Pygmalion,Metro-Goldwyn-Mayer,/wiki/Pygmalion_(1938_film),False,,
100,1938 (11th),Test Pilot,Metro-Goldwyn-Mayer,/wiki/Test_Pilot_(film),False,,
101,1939 (12th),,,,False,,
102,1939 (12th),Gone with the Wind,"Selznick International Pictures (David O. Selznick, producer)",/wiki/Gone_with_the_Wind_(film),True,,
103,1939 (12th),Dark Victory,Warner Bros.-First National,/wiki/Dark_Victory,False,,
104,1939 (12th),"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,"/wiki/Goodbye,_Mr._Chips_(1939_film)",False,,
