,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age
427,2014 (87th),Eddie Redmayne ‡,Stephen Hawking,The Theory of Everything,[95],/wiki/The_Theory_of_Everything_(2014_film),True,,
428,2014 (87th),Steve Carell,John du Pont,Foxcatcher,[95],/wiki/Foxcatcher,False,,
429,2014 (87th),Bradley Cooper,Chris Kyle,American Sniper,[95],/wiki/American_Sniper,False,,
430,2014 (87th),Benedict Cumberbatch,Alan Turing,The Imitation Game,[95],/wiki/The_Imitation_Game,False,,
431,2014 (87th),Michael Keaton,Riggan Thomson,Birdman,[95],/wiki/Birdman_(film),False,,
432,2015 (88th),Leonardo DiCaprio ‡,Hugh Glass,The Revenant,[96],/wiki/The_Revenant_(2015_film),True,,
433,2015 (88th),Bryan Cranston,Dalton Trumbo,Trumbo,[96],/wiki/Trumbo_(2015_film),False,,
434,2015 (88th),Matt Damon,Mark Watney,The Martian,[96],/wiki/The_Martian_(film),False,,
435,2015 (88th),Michael Fassbender,Steve Jobs,Steve Jobs,[96],/wiki/Steve_Jobs,False,,
436,2015 (88th),Eddie Redmayne,Einar Wegener / Lili Elbe,The Danish Girl,[96],/wiki/The_Danish_Girl_(film),False,,
437,2016 (89th),Casey Affleck ‡,Lee Chandler,Manchester by the Sea,[97],/wiki/Manchester_by_the_Sea_(film),True,,
438,2016 (89th),Andrew Garfield,Desmond Doss,Hacksaw Ridge,[97],/wiki/Hacksaw_Ridge,False,,
439,2016 (89th),Ryan Gosling,Sebastian Wilder,La La Land,[97],/wiki/La_La_Land,False,,
440,2016 (89th),Viggo Mortensen,Ben Cash,Captain Fantastic,[97],/wiki/Captain_Fantastic_(film),False,,
441,2016 (89th),Denzel Washington,Troy Maxson,Fences,[97],/wiki/Fences_(film),False,,
442,2017 (90th),Gary Oldman ‡,Winston Churchill,Darkest Hour,[98],/wiki/Darkest_Hour_(film),True,,
443,2017 (90th),Timothée Chalamet,Elio Perlman,Call Me by Your Name,[98],/wiki/Call_Me_by_Your_Name_(film),False,,
444,2017 (90th),Daniel Day-Lewis,Reynolds Woodcock,Phantom Thread,[98],/wiki/Phantom_Thread,False,,
445,2017 (90th),Daniel Kaluuya,Chris Washington,Get Out,[98],/wiki/Get_Out,False,,
446,2017 (90th),Denzel Washington,Roman J. Israel,"Roman J. Israel, Esq.",[98],"/wiki/Roman_J._Israel,_Esq.",False,,
447,2018 (91st),Rami Malek ‡,Freddie Mercury,Bohemian Rhapsody,[99],/wiki/Bohemian_Rhapsody_(film),True,,
448,2018 (91st),Christian Bale,Dick Cheney,Vice,[99],/wiki/Vice_(2018_film),False,,
449,2018 (91st),Bradley Cooper,Jackson Maine,A Star Is Born,[99],/wiki/A_Star_Is_Born_(2018_film),False,,
450,2018 (91st),Willem Dafoe,Vincent van Gogh,At Eternity's Gate,[99],/wiki/At_Eternity%27s_Gate_(film),False,,
451,2018 (91st),Viggo Mortensen,"Anthony ""Tony Lip"" Vallelonga",Green Book,[99],/wiki/Green_Book_(film),False,,
452,2019 (92nd),Joaquin Phoenix ‡,Arthur Fleck / Joker,Joker,[100],/wiki/Joker_(2019_film),True,,
453,2019 (92nd),Antonio Banderas,Salvador Mallo,Pain and Glory,[100],/wiki/Pain_and_Glory,False,,
454,2019 (92nd),Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood,[100],/wiki/Once_Upon_a_Time_in_Hollywood,False,,
455,2019 (92nd),Adam Driver,Charlie Barber,Marriage Story,[100],/wiki/Marriage_Story,False,,
456,2019 (92nd),Jonathan Pryce,Cardinal Jorge Mario Bergoglio,The Two Popes,[100],/wiki/The_Two_Popes,False,,
457,2020/21 [101]  (93rd),Anthony Hopkins ‡,Anthony,The Father,[102],/wiki/The_Father_(2020_film),True,,
458,2020/21 [101]  (93rd),Riz Ahmed,Ruben Stone,Sound of Metal,[102],/wiki/Sound_of_Metal,False,,
459,2020/21 [101]  (93rd),Chadwick Boseman †,Levee Green,Ma Rainey's Black Bottom,[102],/wiki/Ma_Rainey%27s_Black_Bottom_(film),False,,
460,2020/21 [101]  (93rd),Gary Oldman,Herman J. Mankiewicz,Mank,[102],/wiki/Mank,False,,
461,2020/21 [101]  (93rd),Steven Yeun,Jacob Yi,Minari,[102],/wiki/Minari_(film),False,,
462,2021  (94th),Will Smith ‡,Richard Williams,King Richard,[103],/wiki/King_Richard_(film),True,,
463,2021  (94th),Javier Bardem,Desi Arnaz,Being the Ricardos,[103],/wiki/Being_the_Ricardos,False,,
464,2021  (94th),Benedict Cumberbatch,Phil Burbank,The Power of the Dog,[103],/wiki/The_Power_of_the_Dog_(film),False,,
465,2021  (94th),Andrew Garfield,Jonathan Larson,"Tick, Tick... Boom!",[103],"/wiki/Tick,_Tick..._Boom!_(film)",False,,
466,2021  (94th),Denzel Washington,Lord Macbeth,The Tragedy of Macbeth,[103],/wiki/The_Tragedy_of_Macbeth_(2021_film),False,,
467,2022 (95th),Brendan Fraser ‡,Charlie,The Whale,[104],/wiki/The_Whale_(2022_film),True,,
468,2022 (95th),Austin Butler,Elvis Presley,Elvis,[104],/wiki/Elvis_(2022_film),False,,
469,2022 (95th),Colin Farrell,Pádraic Súilleabháin,The Banshees of Inisherin,[104],/wiki/The_Banshees_of_Inisherin,False,,
470,2022 (95th),Paul Mescal,Calum Paterson,Aftersun,[104],/wiki/Aftersun,False,,
471,2022 (95th),Bill Nighy,Rodney Williams,Living,[104],/wiki/Living_(2022_film),False,,
472,2023 (96th),Bradley Cooper,Leonard Bernstein,Maestro,[105],/wiki/Maestro_(2023_film),False,,
473,2023 (96th),Colman Domingo,Bayard Rustin,Rustin,[105],/wiki/Rustin_(film),False,,
474,2023 (96th),Paul Giamatti,Paul Hunham,The Holdovers,[105],/wiki/The_Holdovers,False,,
475,2023 (96th),Cillian Murphy,J. Robert Oppenheimer,Oppenheimer,[105],/wiki/Oppenheimer_(film),False,,
476,2023 (96th),Jeffrey Wright,"Thelonious ""Monk"" Ellison",American Fiction,[105],/wiki/American_Fiction_(film),False,,
477,2020,Anthony Hopkins,,The Father,[106],/wiki/The_Father_(2020_film),False,Oldest Winner,83.0
478,2020,Anthony Hopkins,,The Father,[106],/wiki/The_Father_(2020_film),False,Oldest Nominee,83.0
479,2002,Adrien Brody,,The Pianist,[106],/wiki/The_Pianist_(2002_film),False,Youngest Winner,29.0
480,1931,Jackie Cooper,,Skippy,[106],/wiki/Skippy_(film),False,Youngest Nominee,9.0
