,Year,Actress,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
421,2020/21 (93rd)[93],Maria Bakalova,Tutar Sagdiyev,Borat Subsequent Moviefilm,[94],/wiki/Borat_Subsequent_Moviefilm,False,,
422,2020/21 (93rd)[93],Glenn Close,Bonnie 'Mamaw' Vance,Hillbilly Elegy,[94],/wiki/Hillbilly_Elegy_(film),False,,
423,2020/21 (93rd)[93],Olivia Colman,Anne,The Father,[94],/wiki/The_Father_(2020_film),False,,
424,2020/21 (93rd)[93],Amanda Seyfried,Marion Davies,Mank,[94],/wiki/Mank,False,,
425,2021 (94th),Ariana DeBose ‡,Anita,West Side Story,[95],/wiki/West_Side_Story_(2021_film),True,,
426,2021 (94th),Jessie Buckley,Young Leda Caruso,The Lost Daughter,[95],/wiki/The_Lost_Daughter_(film),False,,
427,2021 (94th),Judi Dench,Granny,Belfast,[95],/wiki/Belfast_(film),False,,
428,2021 (94th),Kirsten Dunst,Rose Gordon,The Power of the Dog,[95],/wiki/The_Power_of_the_Dog_(film),False,,
429,2021 (94th),Aunjanue Ellis-Taylor,Oracene 'Brandy' Price,King Richard,[95],/wiki/King_Richard_(film),False,,
430,2022 (95th),Jamie Lee Curtis ‡,Deirdre Beaubeirdre,Everything Everywhere All at Once,[96],/wiki/Everything_Everywhere_All_at_Once,True,,
431,2022 (95th),Angela Bassett,Queen Ramonda,Black Panther: Wakanda Forever,[96],/wiki/Black_Panther:_Wakanda_Forever,False,,
432,2022 (95th),Hong Chau,Liz,The Whale,[96],/wiki/The_Whale_(2022_film),False,,
433,2022 (95th),Kerry Condon,Siobhán Súilleabháin,The Banshees of Inisherin,[96],/wiki/The_Banshees_of_Inisherin,False,,
434,2022 (95th),Stephanie Hsu,Joy Wang / Jobu Tupaki,Everything Everywhere All at Once,[96],/wiki/Everything_Everywhere_All_at_Once,True,,
435,2023 (96th),Emily Blunt,"Katherine ""Kitty"" Oppenheimer",Oppenheimer,[97],/wiki/Oppenheimer_(film),False,,
436,2023 (96th),Danielle Brooks,Sofia,The Color Purple,[97],/wiki/The_Color_Purple_(2023_film),False,,
437,2023 (96th),America Ferrera,Gloria,Barbie,[97],/wiki/Barbie_(film),False,,
438,2023 (96th),Jodie Foster,Bonnie Stoll,Nyad,[97],/wiki/Nyad_(film),False,,
439,2023 (96th),Da'Vine Joy Randolph,Mary Lamb,The Holdovers,[97],/wiki/The_Holdovers,False,,
440,,Peggy Ashcroft,,A Passage to India,[98],/wiki/A_Passage_to_India_(film),False,Oldest Winner,77.0
441,,Gloria Stuart,,Titanic,[98],/wiki/Titanic_(1997_film),False,Oldest Nominee,87.0
442,,Tatum O'Neal,,Paper Moon,[98],/wiki/Paper_Moon_(film),False,Youngest Winner,10.0
443,,Tatum O'Neal,,Paper Moon,[98],/wiki/Paper_Moon_(film),False,Youngest Nominee,10.0
