,Year,Film,Nominees,FilmLink,Won
117,2010 (83rd),Barney's Version,Adrien Morot,/wiki/Barney%27s_Version_(film),False
118,2010 (83rd),The Way Back,"Gregory Funk, Edouard F. Henriques, and Yolanda Toussieng",/wiki/The_Way_Back_(2010_film),False
119,2011 (84th),,,,False
120,2011 (84th),The Iron Lady,Mark Coulier and J. Roy Helland,/wiki/The_Iron_Lady_(film),True
121,2011 (84th),Albert Nobbs,"Martial Corneville, Lynn Johnson, and Matthew W. Mungle",/wiki/Albert_Nobbs,False
122,2011 (84th),Harry Potter and the Deathly Hallows – Part 2,"Nick Dudman, Amanda Knight, and Lisa Tomblin",/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,False
123,2012 (85th),,,,False
124,2012 (85th),Les Misérables,Lisa Westcott and Julie Dartnell,/wiki/Les_Mis%C3%A9rables_(2012_film),True
125,2012 (85th),Hitchcock,"Howard Berger, Peter Montagna, and Martin Samuel",/wiki/Hitchcock_(film),False
126,2012 (85th),The Hobbit: An Unexpected Journey,"Peter Swords King, Rick Findlater, and Tami Lane",/wiki/The_Hobbit:_An_Unexpected_Journey,False
127,2013 (86th),,,,False
128,2013 (86th),Dallas Buyers Club,Adruitha Lee and Robin Mathews,/wiki/Dallas_Buyers_Club,True
129,2013 (86th),Jackass Presents: Bad Grandpa,Stephen Prouty,/wiki/Jackass_Presents:_Bad_Grandpa,False
130,2013 (86th),The Lone Ranger,Joel Harlow and Gloria Pasqua-Casny,/wiki/The_Lone_Ranger_(2013_film),False
131,2014 (87th),,,,False
132,2014 (87th),The Grand Budapest Hotel,Frances Hannon and Mark Coulier,/wiki/The_Grand_Budapest_Hotel,True
133,2014 (87th),Foxcatcher,Bill Corso and Dennis Liddiard,/wiki/Foxcatcher,False
134,2014 (87th),Guardians of the Galaxy,Elizabeth Yianni-Georgiou and David White,/wiki/Guardians_of_the_Galaxy_(film),False
135,2015 (88th) [7],,,,False
136,2015 (88th) [7],Mad Max: Fury Road,"Lesley Vanderwalt, Elka Wardega and Damian Martin",/wiki/Mad_Max:_Fury_Road,True
137,2015 (88th) [7],The 100-Year-Old Man Who Climbed Out of the Window and Disappeared,Love Larson and Eva von Bahr,/wiki/The_Hundred-Year-Old_Man_Who_Climbed_Out_of_the_Window_and_Disappeared_(film),False
138,2015 (88th) [7],The Revenant,"Siân Grigg, Duncan Jarman, and Robert Pandini",/wiki/The_Revenant_(2015_film),False
139,2016 (89th) [8],,,,False
140,2016 (89th) [8],Suicide Squad,"Alessandro Bertolazzi, Giorgio Gregorini, and Christopher Nelson",/wiki/Suicide_Squad_(2016_film),True
141,2016 (89th) [8],A Man Called Ove,Love Larson and Eva von Bahr,/wiki/A_Man_Called_Ove_(film),False
142,2016 (89th) [8],Star Trek Beyond,Joel Harlow and Richard Alonzo,/wiki/Star_Trek_Beyond,False
143,2017 (90th) [9],,,,False
144,2017 (90th) [9],Darkest Hour,"Kazuhiro Tsuji, David Malinowski, and Lucy Sibbick",/wiki/Darkest_Hour_(film),True
145,2017 (90th) [9],Victoria & Abdul,Daniel Phillips and Lou Sheppard,/wiki/Victoria_%26_Abdul,False
146,2017 (90th) [9],Wonder,Arjen Tuiten,/wiki/Wonder_(film),False
147,2018 (91st) [10],,,,False
148,2018 (91st) [10],Vice,"Greg Cannom, Kate Biscoe, and Patricia Dehaney",/wiki/Vice_(2018_film),True
149,2018 (91st) [10],Border,Göran Lundström and Pamela Goldammer,/wiki/Border_(2018_Swedish_film),False
150,2018 (91st) [10],Mary Queen of Scots,"Jenny Shircore, Marc Pilcher, and Jessica Brooks",/wiki/Mary_Queen_of_Scots_(2018_film),False
151,2019 (92nd) [10],,,,False
152,2019 (92nd) [10],Bombshell,"Kazu Hiro, Anne Morgan, and Vivian Baker",/wiki/Bombshell_(2019_film),True
153,2019 (92nd) [10],Joker,Nicki Ledermann and Kay Georgiou,/wiki/Joker_(2019_film),False
154,2019 (92nd) [10],Judy,Jeremy Woodhead,/wiki/Judy_(film),False
155,2019 (92nd) [10],Maleficent: Mistress of Evil,"Paul Gooch, Arjen Tuiten, and David White",/wiki/Maleficent:_Mistress_of_Evil,False
156,2019 (92nd) [10],1917,"Naomi Donne, Tristan Versluis, and Rebecca Cole",/wiki/1917_(2019_film),False
157,2020/21 (93rd) [11],,,,False
158,2020/21 (93rd) [11],Ma Rainey's Black Bottom,"Sergio López-Rivera, Mia Neal, and Jamika Wilson",/wiki/Ma_Rainey%27s_Black_Bottom_(film),True
159,2020/21 (93rd) [11],Emma,"Marese Langan, Laura Allen, and Claudia Stolze",/wiki/Emma_(2020_film),False
160,2020/21 (93rd) [11],Hillbilly Elegy,"Eryn Krueger Mekash, Patricia Dehaney, and Matthew Mungle",/wiki/Hillbilly_Elegy_(film),False
161,2020/21 (93rd) [11],Mank,"Gigi Williams, Kimberley Spiteri, and Colleen LaBaff",/wiki/Mank,False
162,2020/21 (93rd) [11],Pinocchio,"Dalia Colli, Mark Coulier, and Francesco Pegoretti",/wiki/Pinocchio_(2019_film),False
163,2021 (94th) [12],,,,False
164,2021 (94th) [12],The Eyes of Tammy Faye,"Linda Dowds, Stephanie Ingram, and Justin Raleigh",/wiki/The_Eyes_of_Tammy_Faye_(2021_film),True
