,Year,Film,Nominees,FilmLink,Won
368,2008 (81st),The Witness: From the Balcony of Room 306,Adam Pertofsky and Margaret Hyde,/wiki/The_Witness:_From_the_Balcony_of_Room_306,False
369,2009 (82nd),,,,False
370,2009 (82nd),Music by Prudence,Roger Ross Williams and Elinor Burkett,/wiki/Music_by_Prudence,True
371,2009 (82nd),China's Unnatural Disaster: The Tears of Sichuan Province,Jon Alpert and Matthew O'Neill,/wiki/China%27s_Unnatural_Disaster:_The_Tears_of_Sichuan_Province,False
372,2009 (82nd),The Last Campaign of Governor Booth Gardner,Daniel Junge and Henry Ansbacher,/wiki/The_Last_Campaign_of_Governor_Booth_Gardner,False
373,2009 (82nd),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert,/wiki/The_Last_Truck:_Closing_of_a_GM_Plant,False
374,2009 (82nd),Rabbit à la Berlin,Bartek Konopka and Anna Wydra,/wiki/Rabbit_%C3%A0_la_Berlin,False
375,2010 (83rd),,,,False
376,2010 (83rd),Strangers No More,Karen Goodman and Kirk Simon,/wiki/Strangers_No_More,True
377,2010 (83rd),Killing in the Name,Jed Rothstein,/wiki/Killing_in_the_Name_(film),False
378,2010 (83rd),Poster Girl,Sara Nesson and Mitchell Block,/wiki/Poster_Girl_(film),False
379,2010 (83rd),Sun Come Up,Jennifer Redfearn and Tim Metzger,/wiki/Sun_Come_Up_(film),False
380,2010 (83rd),The Warriors of Qiugang,Ruby Yang and Thomas Lennon,/wiki/The_Warriors_of_Qiugang,False
381,2011 (84th),,,,False
382,2011 (84th),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy,/wiki/Saving_Face_(2012_film),True
383,2011 (84th),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin,/wiki/The_Barber_of_Birmingham,False
384,2011 (84th),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson,/wiki/God_Is_the_Bigger_Elvis,False
385,2011 (84th),Incident in New Baghdad,James Spione,/wiki/Incident_in_New_Baghdad,False
386,2011 (84th),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen,/wiki/The_Tsunami_and_the_Cherry_Blossom,False
387,2012 (85th),,,,False
388,2012 (85th),Inocente,Sean Fine and Andrea Nix Fine,/wiki/Inocente,True
389,2012 (85th),Kings Point,Sari Gilman and Jedd Wider,/wiki/Kings_Point_(film),False
390,2012 (85th),Mondays at Racine,Cynthia Wade and Robin Honan,/wiki/Mondays_at_Racine,False
391,2012 (85th),Open Heart,Kief Davidson and Cori Shepherd Stern,/wiki/Open_Heart_(film),False
392,2012 (85th),Redemption,Jon Alpert and Matthew O'Neill,/wiki/Redemption_(2012_film),False
393,2013 (86th),,,,False
394,2013 (86th),The Lady in Number 6: Music Saved My Life,Malcolm Clarke and Nicholas Reed,/wiki/The_Lady_in_Number_6,True
395,2013 (86th),CaveDigger,Jeffrey Karoff,/wiki/Cavedigger,False
396,2013 (86th),Facing Fear,Jason Cohen,/wiki/Facing_Fear,False
397,2013 (86th),Karama Has No Walls,Sara Ishaq,/wiki/Karama_Has_No_Walls,False
