,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
87,1946 (19th),Anna and the King of Siam,Sally Benson & Talbot Jennings,The novel by Margaret Landon,/wiki/Anna_and_the_King_of_Siam_(film),False,,,,
88,1946 (19th),Brief Encounter,"Anthony Havelock-Allan, David Lean & Ronald Neame",The play Still Life by Noël Coward,/wiki/Brief_Encounter,False,,,,
89,1946 (19th),The Killers,Anthony Veiller,The short story by Ernest Hemingway,/wiki/The_Killers_(1946_film),False,,,,
90,1946 (19th),"Rome, Open City",Sergio Amidei & Federico Fellini,A story by Amidei & Alberto Consiglio,"/wiki/Rome,_Open_City",False,,,,
91,1947 (20th),Miracle on 34th Street,George Seaton,A story by Valentine Davies,/wiki/Miracle_on_34th_Street,True,,,,
92,1947 (20th),Boomerang,Richard Murphy,"The article ""The Perfect Case"" by Anthony Abbot",/wiki/Boomerang_(1947_film),False,,,,
93,1947 (20th),Crossfire,John Paxton,The novel The Brick Foxhole by Richard Brooks,/wiki/Crossfire_(film),False,,,,
94,1947 (20th),Gentleman's Agreement,Moss Hart,The novel by Laura Z. Hobson,/wiki/Gentleman%27s_Agreement,False,,,,
95,1947 (20th),Great Expectations,"David Lean, Anthony Havelock-Allan, & Ronald Neame",The novel by Charles Dickens,/wiki/Great_Expectations_(1946_film),False,,,,
96,1948 (21st),The Treasure of the Sierra Madre,John Huston,The novel by B. Traven,/wiki/The_Treasure_of_the_Sierra_Madre_(film),True,,,,
97,1948 (21st),A Foreign Affair,"Charles Brackett, Richard L. Breen & Billy Wilder",A story by David Shaw,/wiki/A_Foreign_Affair,False,,,,
98,1948 (21st),Johnny Belinda,Allen Vincent & Irma von Cube,The play by Elmer Blaney Harris,/wiki/Johnny_Belinda_(1948_film),False,,,,
99,1948 (21st),The Search,Richard Schweizer & David Wechsler [de],– (original screenplay),/wiki/The_Search,False,,,,
100,1948 (21st),The Snake Pit,Millen Brand & Frank Partos,The novel by Mary Jane Ward,/wiki/The_Snake_Pit,False,,,,
101,1949 (22nd),A Letter to Three Wives,Joseph L. Mankiewicz,The novel by John Klempner,/wiki/A_Letter_to_Three_Wives,True,,,,
102,1949 (22nd),All the King's Men,Robert Rossen,The novel by Robert Penn Warren,/wiki/All_the_King%27s_Men_(1949_film),False,,,,
103,1949 (22nd),The Bicycle Thief,Cesare Zavattini,The novel by Luigi Bartolini,/wiki/Bicycle_Thieves,False,,,,
