,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
230,1974 (47th),Young Frankenstein,Mel Brooks & Gene Wilder,"The novel Frankenstein; or, The Modern Prometheus by Mary Shelley",/wiki/Young_Frankenstein,False,,,,
231,1975 (48th),One Flew Over the Cuckoo's Nest,Bo Goldman & Lawrence Hauben,The novel by Ken Kesey,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True,,,,
232,1975 (48th),Barry Lyndon,Stanley Kubrick,The novel The Luck of Barry Lyndon by William Makepeace Thackeray,/wiki/Barry_Lyndon,False,,,,
233,1975 (48th),The Man Who Would Be King,Gladys Hill & John Huston,The short story by Rudyard Kipling,/wiki/The_Man_Who_Would_Be_King_(film),False,,,,
234,1975 (48th),Profumo di donna,Ruggero Maccari & Dino Risi,The novel Il buio e il mare by Giovanni Arpino,/wiki/Scent_of_a_Woman_(1974_film),False,,,,
235,1975 (48th),The Sunshine Boys,Neil Simon,The play by Simon,/wiki/The_Sunshine_Boys_(1975_film),False,,,,
236,1976 (49th),All the President's Men,William Goldman,The memoir by Carl Bernstein & Bob Woodward,/wiki/All_the_President%27s_Men_(film),True,,,,
237,1976 (49th),Bound for Glory,Robert Getchell,The memoir by Woody Guthrie,/wiki/Bound_for_Glory_(1976_film),False,,,,
238,1976 (49th),Fellini's Casanova,Federico Fellini & Bernardino Zapponi,The memoir History of My Life by Giacomo Casanova,/wiki/Fellini%27s_Casanova,False,,,,
239,1976 (49th),The Seven-Per-Cent Solution,Nicholas Meyer,"The novel The Seven-Per-Cent Solution: Being a Reprint from the Reminiscences of John H. Watson, M.D. by Meyer",/wiki/The_Seven-Per-Cent_Solution_(film),False,,,,
240,1976 (49th),Voyage of the Damned,David Butler & Steve Shagan,The book by Gordon Thomas & Max Morgan-Witts,/wiki/Voyage_of_the_Damned,False,,,,
241,1977 (50th),Julia,Alvin Sargent,The memoir Pentimento: A Book of Portraits by Lillian Hellman,/wiki/Julia_(1977_film),True,,,,
242,1977 (50th),Equus,Peter Shaffer,The play by Shaffer,/wiki/Equus_(film),False,,,,
243,1977 (50th),I Never Promised You a Rose Garden,Lewis John Carlino & Gavin Lambert,The novel by Joanne Greenberg,/wiki/I_Never_Promised_You_a_Rose_Garden_(film),False,,,,
244,1977 (50th),"Oh, God!",Larry Gelbart,The novel by Avery Corman,"/wiki/Oh,_God!_(film)",False,,,,
245,1977 (50th),That Obscure Object of Desire,Scenario: Luis Buñuel; Collaboration: Jean-Claude Carrière,The novel The Woman and the Puppet by Pierre Louÿs,/wiki/That_Obscure_Object_of_Desire,False,,,,
246,1978 (51st),Midnight Express,Oliver Stone,The memoir by Billy Hayes & William Hoffer,/wiki/Midnight_Express_(film),True,,,,
247,1978 (51st),Bloodbrothers,Walter Newman,The novel by Richard Price,/wiki/Bloodbrothers_(1978_film),False,,,,
248,1978 (51st),California Suite,Neil Simon,The play by Simon,/wiki/California_Suite_(film),False,,,,
249,1978 (51st),Heaven Can Wait,Warren Beatty & Elaine May,The play by Harry Segall,/wiki/Heaven_Can_Wait_(1978_film),False,,,,
250,1978 (51st),"Same Time, Next Year",Bernard Slade,The play by Slade,"/wiki/Same_Time,_Next_Year_(film)",False,,,,
251,1979 (52nd),Kramer vs. Kramer,Robert Benton,The novel by Avery Corman,/wiki/Kramer_vs._Kramer,True,,,,
252,1979 (52nd),Apocalypse Now,Francis Ford Coppola & John Milius,The novel Heart of Darkness by Joseph Conrad,/wiki/Apocalypse_Now,False,,,,
253,1979 (52nd),La Cage aux Folles,"Marcello Danon, Édouard Molinaro, Jean Poiret & Francis Veber",The play by Poiret,/wiki/La_Cage_aux_Folles_(film),False,,,,
254,1979 (52nd),A Little Romance,Allan Burns,The novel E=mc2 Mon Amour by Patrick Cauvin,/wiki/A_Little_Romance,False,,,,
255,1979 (52nd),Norma Rae,Harriet Frank Jr. & Irving Ravetch,"The book Crystal Lee, a Woman of Inheritance by Hank Leiferman",/wiki/Norma_Rae,False,,,,
256,1980 (53rd),Ordinary People,Alvin Sargent,The novel by Judith Guest,/wiki/Ordinary_People,True,,,,
257,1980 (53rd),Breaker Morant,"Bruce Beresford, Jonathan Hardy & David Stevens",The play Breaker Morant: A Play in Two Acts by Kenneth G. Ross,/wiki/Breaker_Morant_(film),False,,,,
258,1980 (53rd),Coal Miner's Daughter,Thomas Rickman,The memoir Loretta Lynn: Coal Miner's Daughter by Loretta Lynn & George Vecsey,/wiki/Coal_Miner%27s_Daughter_(film),False,,,,
259,1980 (53rd),The Elephant Man,"Eric Bergren, Christopher De Vore & David Lynch",The memoir The Elephant Man and Other Reminiscences by Frederick Treves & book The Elephant Man: A Study in Human Dignity by Ashley Montagu,/wiki/The_Elephant_Man_(film),False,,,,
260,1980 (53rd),The Stunt Man,Screenplay: Lawrence B. Marcus; Adaptation: Richard Rush,The novel by Paul Brodeur,/wiki/The_Stunt_Man,False,,,,
261,1981 (54th),On Golden Pond,Ernest Thompson,The play by Thompson,/wiki/On_Golden_Pond_(1981_film),True,,,,
262,1981 (54th),The French Lieutenant's Woman,Harold Pinter,The novel by John Fowles,/wiki/The_French_Lieutenant%27s_Woman_(film),False,,,,
263,1981 (54th),Pennies from Heaven,Dennis Potter,The television series by Potter,/wiki/Pennies_from_Heaven_(1981_film),False,,,,
264,1981 (54th),Prince of the City,Jay Presson Allen & Sidney Lumet,The book Prince of the City: The True Story of a Cop Who Knew Too Much by Robert Daley,/wiki/Prince_of_the_City,False,,,,
265,1981 (54th),Ragtime,Michael Weller,The novel by E. L. Doctorow,/wiki/Ragtime_(film),False,,,,
266,1982 (55th),Missing,Costa-Gavras & Donald E. Stewart,The book The Execution of Charles Horman: An American Sacrifice by Thomas Hauser,/wiki/Missing_(1982_film),True,,,,
267,1982 (55th),Das Boot,Wolfgang Petersen,The novel by Lothar-Günther Buchheim,/wiki/Das_Boot,False,,,,
268,1982 (55th),Sophie's Choice,Alan J. Pakula,The novel by William Styron,/wiki/Sophie%27s_Choice_(film),False,,,,
269,1982 (55th),The Verdict,David Mamet,The novel by Barry Reed,/wiki/The_Verdict,False,,,,
270,1982 (55th),Victor/Victoria,Blake Edwards,The film Victor and Victoria by Reinhold Schünzel,/wiki/Victor/Victoria,False,,,,
271,1983 (56th),Terms of Endearment,James L. Brooks,The novel by Larry McMurtry,/wiki/Terms_of_Endearment,True,,,,
272,1983 (56th),Betrayal,Harold Pinter,The play by Pinter,/wiki/Betrayal_(1983_film),False,,,,
273,1983 (56th),The Dresser,Ronald Harwood,The play by Harwood,/wiki/The_Dresser_(1983_film),False,,,,
274,1983 (56th),Educating Rita,Willy Russell,The play by Russell,/wiki/Educating_Rita_(film),False,,,,
275,1983 (56th),"Reuben, Reuben",Julius J. Epstein,The play Spofford by Herman Shumlin & novel by Peter De Vries,"/wiki/Reuben,_Reuben",False,,,,
276,1984 (57th),Amadeus,Peter Shaffer,The play by Shaffer,/wiki/Amadeus_(film),True,,,,
277,1984 (57th),"Greystoke: The Legend of Tarzan, Lord of the Apes",Michael Austin & Robert Towne[note 15][11],The novel Tarzan of the Apes by Edgar Rice Burroughs,"/wiki/Greystoke:_The_Legend_of_Tarzan,_Lord_of_the_Apes",False,,,,
278,1984 (57th),The Killing Fields,Bruce Robinson,"The article ""The Death and Life of Dith Pran: A Story of Cambodia"" by Sydney Schanberg",/wiki/The_Killing_Fields_(film),False,,,,
279,1984 (57th),A Passage to India,David Lean,The novel by E. M. Forster,/wiki/A_Passage_to_India_(film),False,,,,
280,1984 (57th),A Soldier's Story,Charles Fuller,The play A Soldier's Play by Fuller,/wiki/A_Soldier%27s_Story,False,,,,
281,1985 (58th),Out of Africa,Kurt Luedtke,The memoir by Karen Blixen & books Silence Will Speak: A Study of the Life of Denys Finch Hatton and His Relationship With Karen Blixen by Errol Trzebinski & Isak Dinesen: The Life of a Storyteller by Judith Thurman,/wiki/Out_of_Africa_(film),True,,,,
282,1985 (58th),The Color Purple,Menno Meyjes,The novel by Alice Walker,/wiki/The_Color_Purple_(1985_film),False,,,,
283,1985 (58th),Kiss of the Spider Woman,Leonard Schrader,The novel by Manuel Puig,/wiki/Kiss_of_the_Spider_Woman_(film),False,,,,
284,1985 (58th),Prizzi's Honor,Richard Condon & Janet Roach,The novel by Condon,/wiki/Prizzi%27s_Honor,False,,,,
285,1985 (58th),The Trip to Bountiful,Horton Foote,The play & television film by Foote,/wiki/The_Trip_to_Bountiful,False,,,,
286,1986 (59th),A Room with a View,Ruth Prawer Jhabvala,The novel by E. M. Forster,/wiki/A_Room_with_a_View_(1985_film),True,,,,
287,1986 (59th),Children of a Lesser God,Hesper Anderson & Mark Medoff,The play by Medoff,/wiki/Children_of_a_Lesser_God_(film),False,,,,
288,1986 (59th),The Color of Money,Richard Price,The novel by Walter Tevis,/wiki/The_Color_of_Money,False,,,,
289,1986 (59th),Crimes of the Heart,Beth Henley,The play by Henley,/wiki/Crimes_of_the_Heart_(film),False,,,,
290,1986 (59th),Stand by Me,Bruce A. Evans & Raynold Gideon,The novella The Body by Stephen King,/wiki/Stand_by_Me_(film),False,,,,
291,1987 (60th),The Last Emperor,Bernardo Bertolucci & Mark Peploe,The memoir From Emperor to Citizen: The Autobiography of Aisin-Gioro Pu Yi by Puyi,/wiki/The_Last_Emperor,True,,,,
292,1987 (60th),The Dead,Tony Huston,The short story by James Joyce,/wiki/The_Dead_(1987_film),False,,,,
293,1987 (60th),Fatal Attraction,James Dearden,The television film Diversion by Dearden,/wiki/Fatal_Attraction,False,,,,
294,1987 (60th),Full Metal Jacket,"Gustav Hasford, Michael Herr & Stanley Kubrick",The novel The Short-Timers by Hasford,/wiki/Full_Metal_Jacket,False,,,,
295,1987 (60th),My Life as a Dog,"Per Berglund, Brasse Brännström, Lasse Hallström & Reidar Jönsson",The novel Mitt liv som hund by Jönsson,/wiki/My_Life_as_a_Dog,False,,,,
296,1988 (61st),Dangerous Liaisons,Christopher Hampton,The play Les Liaisons Dangereuses by Hampton & novel by Pierre Choderlos de Laclos,/wiki/Dangerous_Liaisons,True,,,,
297,1988 (61st),The Accidental Tourist,Frank Galati & Lawrence Kasdan,The novel by Anne Tyler,/wiki/The_Accidental_Tourist_(film),False,,,,
298,1988 (61st),Gorillas in the Mist,Screenplay: Anna Hamilton Phelan; Story: Tab Murphy & Phelon,The article by Harold Hayes,/wiki/Gorillas_in_the_Mist,False,,,,
299,1988 (61st),Little Dorrit,Christine Edzard,The novel by Charles Dickens,/wiki/Little_Dorrit_(1987_film),False,,,,
300,1988 (61st),The Unbearable Lightness of Being,Jean-Claude Carrière & Philip Kaufman,The novel by Milan Kundera,/wiki/The_Unbearable_Lightness_of_Being_(film),False,,,,
301,1989 (62nd),Driving Miss Daisy,Alfred Uhry,The play by Uhry,/wiki/Driving_Miss_Daisy,True,,,,
302,1989 (62nd),Born on the Fourth of July,Ron Kovic & Oliver Stone,The memoir by Kovic,/wiki/Born_on_the_Fourth_of_July_(film),False,,,,
303,1989 (62nd),"Enemies, A Love Story",Paul Mazursky & Roger L. Simon,The novel by Isaac Bashevis Singer,"/wiki/Enemies,_A_Love_Story_(film)",False,,,,
304,1989 (62nd),Field of Dreams,Phil Alden Robinson,The novel Shoeless Joe by W. P. Kinsella,/wiki/Field_of_Dreams,False,,,,
305,1989 (62nd),My Left Foot,Shane Connaughton & Jim Sheridan,The memoir by Christy Brown,/wiki/My_Left_Foot,False,,,,
306,1990 (63rd),Dances with Wolves,Michael Blake,The novel by Blake,/wiki/Dances_with_Wolves,True,,,,
307,1990 (63rd),Awakenings,Steven Zaillian,The memoir by Oliver Sacks,/wiki/Awakenings,False,,,,
308,1990 (63rd),Goodfellas,Nicholas Pileggi & Martin Scorsese,The book Wiseguy: Life in a Mafia Family by Pileggi,/wiki/Goodfellas,False,,,,
309,1990 (63rd),The Grifters,Donald E. Westlake,The novel by Jim Thompson,/wiki/The_Grifters_(film),False,,,,
310,1990 (63rd),Reversal of Fortune,Nicholas Kazan,The memoir Reversal of Fortune: Inside the von Bülow Case by Alan Dershowitz,/wiki/Reversal_of_Fortune,False,,,,
311,1991 (64th),The Silence of the Lambs,Ted Tally,The novel by Thomas Harris,/wiki/The_Silence_of_the_Lambs_(film),True,,,,
312,1991 (64th),Europa Europa,Agnieszka Holland,The memoir I Was Hitler Youth Salomon by Solomon Perel,/wiki/Europa_Europa,False,,,,
313,1991 (64th),Fried Green Tomatoes,Fannie Flagg & Carol Sobieski (p.n.),The novel Fried Green Tomatoes at the Whistle Stop Cafe by Flagg,/wiki/Fried_Green_Tomatoes,False,,,,
314,1991 (64th),JFK,Zachary Sklar & Oliver Stone,The memoir On the Trail of the Assassins by Jim Garrison & book Crossfire: The Plot That Killed Kennedy by Jim Marrs,/wiki/JFK_(film),False,,,,
315,1991 (64th),The Prince of Tides,Pat Conroy & Becky Johnston,The novel by Conroy,/wiki/The_Prince_of_Tides,False,,,,
316,1992 (65th),Howards End,Ruth Prawer Jhabvala,The novel by E. M. Forster,/wiki/Howards_End_(film),True,,,,
317,1992 (65th),Enchanted April,Peter Barnes,The novel by Elizabeth von Arnim,/wiki/Enchanted_April_(1991_film),False,,,,
318,1992 (65th),The Player,Michael Tolkin,The novel by Tolkin,/wiki/The_Player_(1992_film),False,,,,
319,1992 (65th),A River Runs Through It,Richard Friedenberg,The novella by Norman Maclean,/wiki/A_River_Runs_Through_It_(film),False,,,,
320,1992 (65th),Scent of a Woman,Bo Goldman,The novel Il buio e il miele by Giovanni Arpino & film by Ruggero Maccari & Dino Risi,/wiki/Scent_of_a_Woman_(1992_film),False,,,,
321,1993 (66th),Schindler's List,Steven Zaillian,The novel Schindler's Ark by Thomas Keneally,/wiki/Schindler%27s_List,True,,,,
322,1993 (66th),The Age of Innocence,Jay Cocks & Martin Scorsese,The novel by Edith Wharton,/wiki/The_Age_of_Innocence_(1993_film),False,,,,
323,1993 (66th),In the Name of the Father,Terry George & Jim Sheridan,The memoir Proved Innocent: The Story of Gerry Conlon of the Guildford Four by Gerry Conlon,/wiki/In_the_Name_of_the_Father_(film),False,,,,
324,1993 (66th),The Remains of the Day,Ruth Prawer Jhabvala,The novel by Kazuo Ishiguro,/wiki/The_Remains_of_the_Day_(film),False,,,,
325,1993 (66th),Shadowlands,William Nicholson,The play & television film by Nicholson,/wiki/Shadowlands_(1993_film),False,,,,
326,1994 (67th),Forrest Gump,Eric Roth,The novel by Winston Groom,/wiki/Forrest_Gump,True,,,,
327,1994 (67th),The Madness of King George,Alan Bennett,The play The Madness of George III by Bennett,/wiki/The_Madness_of_King_George,False,,,,
328,1994 (67th),Nobody's Fool,Robert Benton,The novel by Richard Russo,/wiki/Nobody%27s_Fool_(1994_film),False,,,,
329,1994 (67th),Quiz Show,Paul Attanasio,The book Remembering America: A Voice from the Sixties by Richard N. Goodwin,/wiki/Quiz_Show_(film),False,,,,
330,1994 (67th),The Shawshank Redemption,Frank Darabont,"The novella ""Rita Hayworth and Shawshank Redemption"" by Stephen King",/wiki/The_Shawshank_Redemption,False,,,,
331,1995 (68th),Sense and Sensibility,Emma Thompson,The novel by Jane Austen,/wiki/Sense_and_Sensibility_(film),True,,,,
332,1995 (68th),Apollo 13,William Broyles Jr. & Al Reinert,The memoir Lost Moon: The Perilous Voyage of Apollo 13 by Jeffrey Kluger & Jim Lovell,/wiki/Apollo_13_(film),False,,,,
333,1995 (68th),Babe,George Miller & Chris Noonan,The novel The Sheep-Pig by Dick King-Smith,/wiki/Babe_(film),False,,,,
334,1995 (68th),Leaving Las Vegas,Mike Figgis,The novel by John O'Brien,/wiki/Leaving_Las_Vegas,False,,,,
335,1995 (68th),Il Postino: The Postman,"Screenplay: Anna Pavignano, Michael Radford, Furio & Giacomo Scarpelli & Massimo Troisi (p.n.); Story: F. & G. Scarpelli",The novel Ardiente Paciencia by Antonio Skármeta,/wiki/Il_Postino:_The_Postman,False,,,,
336,1996 (69th),Sling Blade,Billy Bob Thornton,The short film Some Folks Call It a Sling Blade written by Thornton,/wiki/Sling_Blade_(film),True,,,,
337,1996 (69th),The Crucible,Arthur Miller,The play by Miller,/wiki/The_Crucible_(1996_film),False,,,,
338,1996 (69th),The English Patient,Anthony Minghella,The novel by Michael Ondaatje,/wiki/The_English_Patient_(film),False,,,,
339,1996 (69th),Hamlet,Kenneth Branagh,"The play The Tragedy of Hamlet, Prince of Denmark by William Shakespeare",/wiki/Hamlet_(1996_film),False,,,,
340,1996 (69th),Trainspotting,John Hodge,The novel by Irvine Welsh,/wiki/Trainspotting_(film),False,,,,
341,1997 (70th),L.A. Confidential,Curtis Hanson & Brian Helgeland,The novel by James Ellroy,/wiki/L.A._Confidential_(film),True,,,,
342,1997 (70th),Donnie Brasco,Paul Attanasio,The memoir Donnie Brasco: My Undercover Life in the Mafia by Joseph D. Pistone & Richard Woodley,/wiki/Donnie_Brasco_(film),False,,,,
343,1997 (70th),The Sweet Hereafter,Atom Egoyan,The novel by Russell Banks,/wiki/The_Sweet_Hereafter_(film),False,,,,
344,1997 (70th),Wag the Dog,Hilary Henkin & David Mamet,The novel American Hero by Larry Beinhart,/wiki/Wag_the_Dog,False,,,,
345,1997 (70th),The Wings of the Dove,Hossein Amini,The novel by Henry James,/wiki/The_Wings_of_the_Dove_(1997_film),False,,,,
346,1998 (71st),Gods and Monsters,Bill Condon,The novel Father of Frankenstein by Christopher Bram,/wiki/Gods_and_Monsters_(film),True,,,,
347,1998 (71st),Out of Sight,Scott Frank,The novel by Elmore Leonard,/wiki/Out_of_Sight,False,,,,
348,1998 (71st),Primary Colors,Elaine May,The novel Primary Colors: A Novel of Politics by Joe Klein,/wiki/Primary_Colors_(film),False,,,,
349,1998 (71st),A Simple Plan,Scott Smith,The novel by Smith,/wiki/A_Simple_Plan_(film),False,,,,
350,1998 (71st),The Thin Red Line,Terrence Malick,The novel by James Jones,/wiki/The_Thin_Red_Line_(1998_film),False,,,,
351,1999 (72nd),The Cider House Rules,John Irving,The novel by Irving,/wiki/The_Cider_House_Rules_(film),True,,,,
352,1999 (72nd),Election,Alexander Payne & Jim Taylor,The novel by Tom Perrotta,/wiki/Election_(1999_film),False,,,,
353,1999 (72nd),The Green Mile,Frank Darabont,The novel by Stephen King,/wiki/The_Green_Mile_(film),False,,,,
354,1999 (72nd),The Insider,Michael Mann & Eric Roth,"The article ""The Man Who Knew Too Much"" by Marie Brenner",/wiki/The_Insider_(film),False,,,,
355,1999 (72nd),The Talented Mr. Ripley,Anthony Minghella,The novel by Patricia Highsmith,/wiki/The_Talented_Mr._Ripley_(film),False,,,,
356,2000 (73rd),Traffic,Stephen Gaghan,The television series Traffik by Simon Moore,/wiki/Traffic_(2000_film),True,,,,
357,2000 (73rd),Chocolat,Robert Nelson Jacobs,The novel by Joanne Harris,/wiki/Chocolat_(2000_film),False,,,,
358,2000 (73rd),"Crouching Tiger, Hidden Dragon","Wang Hui-ling, James Schamus & Kuo Jung Tsai",The novel by Wang Dulu,"/wiki/Crouching_Tiger,_Hidden_Dragon",False,,,,
359,2000 (73rd),"O Brother, Where Art Thou?",Joel and Ethan Coen,The epic poem the Odyssey by Homer,"/wiki/O_Brother,_Where_Art_Thou%3F",False,,,,
360,2000 (73rd),Wonder Boys,Steve Kloves,The novel by Michael Chabon,/wiki/Wonder_Boys_(film),False,,,,
361,2001 (74th),A Beautiful Mind,Akiva Goldsman,The book by Sylvia Nasar,/wiki/A_Beautiful_Mind_(film),True,,,,
362,2001 (74th),Ghost World,Daniel Clowes & Terry Zwigoff,The graphic novel by Clowes,/wiki/Ghost_World_(film),False,,,,
363,2001 (74th),In the Bedroom,Rob Festinger & Todd Field,"The short story ""Killings"" by Andre Dubus",/wiki/In_the_Bedroom,False,,,,
364,2001 (74th),The Lord of the Rings: The Fellowship of the Ring,"Philippa Boyens, Peter Jackson & Fran Walsh",The novel The Fellowship of the Ring by J. R. R. Tolkien,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,,,,
365,2001 (74th),Shrek,"Ted Elliott, Roger S. H. Schulman, Joe Stillman & Terry Rossio",The picture book by William Steig,/wiki/Shrek,False,,,,
366,2002 (75th),The Pianist,Ronald Harwood,The memoir by Władysław Szpilman,/wiki/The_Pianist_(2002_film),True,,,,
367,2002 (75th),About a Boy,"Peter Hedges, Chris & Paul Weitz",The novel by Nick Hornby,/wiki/About_a_Boy_(film),False,,,,
368,2002 (75th),Adaptation,Charlie & Donald Kaufman[note 16][11],The book The Orchid Thief by Susan Orlean,/wiki/Adaptation_(film),False,,,,
369,2002 (75th),Chicago,Bill Condon,The musical by Fred Ebb & Bob Fosse,/wiki/Chicago_(2002_film),False,,,,
370,2002 (75th),The Hours,David Hare,The novel by Michael Cunningham,/wiki/The_Hours_(film),False,,,,
371,2003 (76th),The Lord of the Rings: The Return of the King,"Philippa Boyens, Peter Jackson & Fran Walsh",The novel The Return of the King by J. R. R. Tolkien,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True,,,,
372,2003 (76th),American Splendor,Shari Springer Berman & Robert Pulcini,The comic books by Harvey Pekar & graphic novel Our Cancer Year by Pekar & Joyce Brabner,/wiki/American_Splendor_(film),False,,,,
373,2003 (76th),City of God,Bráulio Mantovani,The novel by Paulo Lins,/wiki/City_of_God_(2002_film),False,,,,
374,2003 (76th),Mystic River,Brian Helgeland,The novel by Dennis Lehane,/wiki/Mystic_River_(film),False,,,,
375,2003 (76th),Seabiscuit,Gary Ross,The book Seabiscuit: An American Legend by Laura Hillenbrand,/wiki/Seabiscuit_(film),False,,,,
376,2004 (77th),Sideways,Alexander Payne & Jim Taylor,The novel by Rex Pickett,/wiki/Sideways,True,,,,
377,2004 (77th),Before Sunset,"Screenplay: Julie Delpy, Ethan Hawke & Richard Linklater; Story: Kim Krizan & Linklater",Characters from the film Before Sunrise by Krizan & Linklater,/wiki/Before_Sunset,False,,,,
378,2004 (77th),Finding Neverland,David Magee,The play The Man Who Was Peter Pan by Allan Knee,/wiki/Finding_Neverland_(film),False,,,,
379,2004 (77th),Million Dollar Baby,Paul Haggis,The short story collection Rope Burns: Stories from the Corner by F.X. Toole,/wiki/Million_Dollar_Baby,False,,,,
380,2004 (77th),The Motorcycle Diaries,José Rivera,The memoirs Traveling with Che Guevara: The Making of a Revolutionary by Alberto Granado & The Motorcycle Diaries by Che Guevara,/wiki/The_Motorcycle_Diaries_(film),False,,,,
381,2005 (78th),Brokeback Mountain,Larry McMurtry & Diana Ossana,The short story by Annie Proulx,/wiki/Brokeback_Mountain,True,,,,
382,2005 (78th),Capote,Dan Futterman,The book by Gerald Clarke,/wiki/Capote_(film),False,,,,
383,2005 (78th),The Constant Gardener,Jeffrey Caine,The novel by John le Carré,/wiki/The_Constant_Gardener_(film),False,,,,
384,2005 (78th),A History of Violence,Josh Olson,The graphic novel by Vince Locke & John Wagner,/wiki/A_History_of_Violence,False,,,,
385,2005 (78th),Munich,Tony Kushner & Eric Roth,The book Vengeance by George Jonas,/wiki/Munich_(2005_film),False,,,,
386,2006 (79th),The Departed,William Monahan,The film Infernal Affairs written by Felix Chong & Alan Mak,/wiki/The_Departed,True,,,,
387,2006 (79th),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Screenplay: Sacha Baron Cohen, Peter Baynham, Anthony Hines & Dan Mazer; Story: Baron Cohen, Baynham, Hines & Todd Phillips",The character Borat Sagdiyev from the television series Da Ali G Show by Baron Cohen,/wiki/Borat,False,,,,
388,2006 (79th),Children of Men,"David Arata, Alfonso Cuarón, Mark Fergus, Hawk Ostby & Timothy J. Sexton",The novel by P. D. James,/wiki/Children_of_Men,False,,,,
389,2006 (79th),Little Children,Todd Field & Tom Perrotta,The novel by Perrotta,/wiki/Little_Children_(film),False,,,,
390,2006 (79th),Notes on a Scandal,Patrick Marber,The novel by Zoë Heller,/wiki/Notes_on_a_Scandal_(film),False,,,,
391,2007 (80th),No Country for Old Men,Coen Brothers,The novel by Cormac McCarthy,/wiki/No_Country_for_Old_Men,True,,,,
392,2007 (80th),Atonement,Christopher Hampton,The novel by Ian McEwan,/wiki/Atonement_(2007_film),False,,,,
393,2007 (80th),Away from Her,Sarah Polley,"The short story ""The Bear Came Over the Mountain"" by Alice Munro",/wiki/Away_from_Her,False,,,,
394,2007 (80th),The Diving Bell and the Butterfly,Ronald Harwood,The memoir by Jean-Dominique Bauby,/wiki/The_Diving_Bell_and_the_Butterfly_(film),False,,,,
395,2007 (80th),There Will Be Blood,Paul Thomas Anderson,The novel Oil! by Upton Sinclair,/wiki/There_Will_Be_Blood,False,,,,
396,2008 (81st),Slumdog Millionaire,Simon Beaufoy,The novel Q & A by Vikas Swarup,/wiki/Slumdog_Millionaire,True,,,,
397,2008 (81st),The Curious Case of Benjamin Button,Screenplay: Eric Roth; Story: Roth & Robin Swicord,The short story by F. Scott Fitzgerald,/wiki/The_Curious_Case_of_Benjamin_Button_(film),False,,,,
398,2008 (81st),Doubt,John Patrick Shanley,The play Doubt: A Parable by Shanley,/wiki/Doubt_(2008_film),False,,,,
399,2008 (81st),Frost/Nixon,Peter Morgan,The play by Morgan,/wiki/Frost/Nixon_(film),False,,,,
400,2008 (81st),The Reader,David Hare,The novel by Bernhard Schlink,/wiki/The_Reader_(2008_film),False,,,,
401,2009 (82nd),Precious,Geoffrey S. Fletcher,The novel Push by Sapphire,/wiki/Precious_(film),True,,,,
402,2009 (82nd),District 9,Neill Blomkamp & Terri Tatchell,The short film Alive in Joburg by Blomkamp,/wiki/District_9,False,,,,
403,2009 (82nd),An Education,Nick Hornby,The memoir by Lynn Barber,/wiki/An_Education,False,,,,
404,2009 (82nd),In the Loop,"Jesse Armstrong, Simon Blackwell, Armando Iannucci & Tony Roche",The character Malcolm Tucker from the television series The Thick of It by Iannucci,/wiki/In_the_Loop,False,,,,
405,2009 (82nd),Up in the Air,Jason Reitman & Sheldon Turner,The novel by Walter Kirn,/wiki/Up_in_the_Air_(2009_film),False,,,,
406,2010 (83rd),The Social Network,Aaron Sorkin,"The book The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal by Ben Mezrich",/wiki/The_Social_Network,True,,,,
407,2010 (83rd),127 Hours,Simon Beaufoy & Danny Boyle,The memoir Between a Rock and a Hard Place by Aron Ralston,/wiki/127_Hours,False,,,,
408,2010 (83rd),Toy Story 3,"Screenplay: Michael Arndt; Story: John Lasseter, Andrew Stanton & Lee Unkrich","Characters from the film Toy Story by Pete Docter, Lasseter, Joe Ranft, & Stanton",/wiki/Toy_Story_3,False,,,,
409,2010 (83rd),True Grit,Coen Brothers,The novel by Charles Portis,/wiki/True_Grit_(2010_film),False,,,,
410,2010 (83rd),Winter's Bone,Debra Granik & Anne Rosellini,The novel by Daniel Woodrell,/wiki/Winter%27s_Bone,False,,,,
411,2011 (84th),The Descendants,"Nat Faxon, Alexander Payne & Jim Rash",The novel by Kaui Hart Hemmings,/wiki/The_Descendants,True,,,,
412,2011 (84th),Hugo,John Logan,The novel The Invention of Hugo Cabret by Brian Selznick,/wiki/Hugo_(film),False,,,,
413,2011 (84th),The Ides of March,"George Clooney, Grant Heslov & Beau Willimon",The play Farragut North by Willimon,/wiki/The_Ides_of_March_(2011_film),False,,,,
414,2011 (84th),Moneyball,Screenplay: Aaron Sorkin & Steven Zaillian; Story: Stan Chervin,The book Moneyball: The Art of Winning an Unfair Game by Michael Lewis,/wiki/Moneyball_(film),False,,,,
415,2011 (84th),Tinker Tailor Soldier Spy,Bridget O'Connor (p.n.) & Peter Straughan,The novel by John le Carré,/wiki/Tinker_Tailor_Soldier_Spy_(film),False,,,,
